dataset,id,qso,instrument,z,sigma_ppm
King2012,1,J000520+052410,Keck,0.85118,12.84
King2012,2,J012017+213346,Keck,0.72913,12.969999999999999
King2012,3,J012017+213346,Keck,1.0479,21.99
King2012,4,J012017+213346,Keck,1.3246,8.040000000000001
King2012,5,J012017+213346,Keck,1.3428,9.49
King2012,6,J042315-012033,Keck,0.63308,40.88
King2012,7,J045312-130546,Keck,1.1743,10.93
King2012,8,J045312-130546,Keck,1.2294,8.18
King2012,9,J045312-130546,Keck,1.2324,27.57
King2012,10,J045647+040052,Keck,0.85929,12.05
King2012,11,J045647+040052,Keck,1.1534,17.869999999999997
King2012,12,J082601-223027,Keck,0.91059,6.09
King2012,13,J115129+382552,Keck,0.55339,17.16
King2012,14,J120858+454035,Keck,0.92741,13.899999999999999
King2012,15,J121549-003432,Keck,1.3196,7.61
King2012,16,J121549-003432,Keck,1.5541,8.78
King2012,17,J122527+223512,Keck,0.66802,14.75
King2012,18,J122824+312837,Keck,1.7954,10.5
King2012,19,J125048+395139,Keck,0.77292,11.790000000000001
King2012,20,J125048+395139,Keck,0.85452,12.7
King2012,21,J125659+042734,Keck,0.51934,32.559999999999995
King2012,22,J125659+042734,Keck,0.93426,17.96
King2012,23,J131956+272808,Keck,0.66004,15.049999999999999
King2012,24,J142326+325220,Keck,0.84324,8.459999999999999
King2012,25,J142326+325220,Keck,0.90301,17.83
King2012,26,J142326+325220,Keck,1.1726,15.46
King2012,27,J163429+703132,Keck,0.9901,23.990000000000002
King2012,28,J002208-150538,Keck,3.4388,39.12
King2012,29,J010311+131617,Keck,2.3095,22.169684255757907
King2012,30,J015234+335033,Keck,2.1408,27.755448113838842
King2012,31,J020455+364917,Keck,1.4761,12.16
King2012,32,J020455+364917,Keck,1.955,20.338025961238223
King2012,33,J020455+364917,Keck,2.324,16.4
King2012,34,J020455+364917,Keck,2.4563,25.97
King2012,35,J020455+364917,Keck,2.4628,24.550947028577124
King2012,36,J034943-381031,Keck,3.0247,34.22
King2012,37,J084424+124548,Keck,2.3742,42.05232217131415
King2012,38,J084424+124548,Keck,2.4761,26.326370809513413
King2012,39,J121732+330538,Keck,1.999,36.24601081498487
King2012,40,J175746+753916,Keck,2.6253,22.281366654673587
King2012,41,J175746+753916,Keck,2.6253,24.86277941019467
King2012,42,J220852-194359,Keck,0.94841,18.57
King2012,43,J220852-194359,Keck,1.0172,7.34
King2012,44,J220852-194359,Keck,1.9204,18.79430232809933
King2012,45,J223235+024755,Keck,1.8585,21.015054127934096
King2012,46,J223235+024755,Keck,1.864,18.11108224264911
King2012,47,J223408+000001,Keck,2.0653,20.180034687779898
King2012,48,J235129-142748,Keck,2.2794,41.61
King2012,49,J000149-015940,Keck,2.0951,18.885385884328656
King2012,50,J000149-015940,Keck,2.1539,39.54
King2012,51,J025518+004847,Keck,3.2534,35.26812300080626
King2012,52,J074521+473436,Keck,1.6111,20.22
King2012,53,J074521+473436,Keck,3.0173,32.829214124008516
King2012,54,J083943+104321,Keck,2.4673,43.949999999999996
King2012,55,J095500-013006,Keck,2.6238,73.58
King2012,56,J095744+330820,Keck,4.1798,39.33
King2012,57,J111113-080402,Keck,1.9746,23.26
King2012,58,J111113-080402,Keck,3.6061,44.02
King2012,59,J121303+171423,Keck,0.69404,39.16
King2012,60,J121303+171423,Keck,0.84142,8.040000000000001
King2012,61,J121303+171423,Keck,1.8918,19.630226692527014
King2012,62,J122607+173649,Keck,2.4653,24.042431241453098
King2012,63,J122607+173649,Keck,2.5577,35.03
King2012,64,J235057-005209,Keck,2.4264,34.85
King2012,65,J235057-005209,Keck,2.6147,41.815846278653744
King2012,66,J000322-260316,Keck,1.4342,11.67
King2012,67,J000322-260316,Keck,3.3897,35.480000000000004
King2012,68,J000520+052410,Keck,0.59137,24.33
King2012,69,J000520+052410,Keck,0.85118,10.22
King2012,70,J005757-264314,Keck,1.2679,25.21
King2012,71,J005757-264314,Keck,1.3192,24.1
King2012,72,J005757-264314,Keck,1.5337,11.559999999999999
King2012,73,J010054+021136,Keck,0.61256,11.91
King2012,74,J010054+021136,Keck,0.72508,35.230000000000004
King2012,75,J012227-042127,Keck,0.65741,46.08
King2012,76,J015734+744243,Keck,0.7455,7.45
King2012,77,J020944+051714,Keck,3.6663,35.03
King2012,78,J021857+081727,Keck,1.768,12.350000000000001
King2012,79,J024008-230915,Keck,1.365,5.23
