case_index,family,block,contrast_N64,contrast_N128,spatial_contrast_change,change_over_IAAFT_IQR
1,real,1,-0.00020000173969880047,-0.00020047741723286383,-4.756775340633568e-07,0.0008861858886307754
2,iaaft,1,0.00028074524159653336,0.0002808670862775517,1.218446810183349e-07,0.0002269962930576089
101,exact_spectrum,1,0.00028788252258320213,0.0002880616067011399,1.7908411793776668e-07,0.0003336332007077728
200,real,2,-0.00032272454595513866,-0.00032285872510084274,-1.3417914570407197e-07,0.00019387217440096886
399,real,3,-0.0002730894141065865,-0.0002725703609133198,5.19053193266672e-07,0.0010552150279470847
598,real,4,0.00027078560660892537,0.00027133179525541673,5.461886464913634e-07,0.0011939328817275959
797,real,5,-4.2925622163021704e-05,-4.378083619938772e-05,-8.552140363660143e-07,0.0020426272642402785
996,real,6,-0.0004434475613016922,-0.00044437311267995355,-9.255513782613356e-07,0.0014250712624391836
1195,real,7,2.842471589278167e-05,2.8855675074011822e-05,4.3095918123015053e-07,0.0016497363241913226
1394,real,8,0.00020192966532913553,0.0002011844880371455,-7.45177291990029e-07,0.002606372862775474
