mG_eV,M_vector_eV,mKK_eV,sigma,phase,Lambda_eV,A_5d,c_Q,beta_Q,min_my2_eV2,max_my2_eV2,min_my2_over_Href2,clockoff_my2_leading_eV2,RSS_c_2loop_force_ratio,contact_d_1loop_force_ratio,contact_Btree_1loop_force_ratio,contact_B5d_2loop_force_ratio,quadratic_valley_force_ratio,quadratic_valley_energy_over_U,valley_metric_boundary_fraction,selected_feedback_sum_ratio,known_axis_feedback_without_valley,charged_over_vector,vector_over_KK,KK_over_M5,max_hierarchy_ratio,FTcanonical_over_vector2,max_auxiliary_over_vector2,max_coupling_loop_parameter,local_positive_curvature,hierarchy_pass,auxiliary_pass,perturbative_coupling_pass,necessary_conditions_pass,Ucrit_leading_eV4,chi_critical_leading,chi_gap_after_last
1e-12,100000000000.0,100000000000000.0,1.0,zero,100000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.993840238901696e-37,7.394172325623676e-35,4.834840654811388e+29,-1.0406330369441609e-53,4.223354530332044e-23,0.025330459865608747,0.0,0.0,0.0,0.0,0.0,0.025330459865608747,0.025330459865608747,1.0,0.001,1.7433475691889013e-09,1.0,4.2175437164302157e-07,4.2175437164302157e-07,0.012665147955292222,True,False,True,True,False,8.671941974534674e-33,159.34599726618006,19.551750598825635
1e-12,115478198468.94582,100000000000000.0,1.0,zero,115478198468.94582,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,7.494322924146069e-37,5.544847009791493e-35,3.625619010088199e+29,-1.0406330369441609e-53,4.223354530332044e-23,0.018995165172948178,0.0,0.0,0.0,0.0,0.0,0.018995165172948178,0.018995165172948178,0.8659643233600653,0.0011547819846894581,1.7433475691889013e-09,0.8659643233600653,3.1627116105575043e-07,3.1627116105575043e-07,0.012665147955292222,True,False,True,True,False,1.156422048151872e-32,159.20208569786794,19.407839030513514
1e-12,133352143216.3324,100000000000000.0,1.0,zero,133352143216.3324,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,5.619949363684614e-37,4.1580486642770235e-35,2.7188307009108112e+29,-1.0406330369441609e-53,4.223354530332044e-23,0.014244364368507375,0.0,0.0,0.0,0.0,0.0,0.014244364368507375,0.014244364368507375,0.7498942093324559,0.001333521432163324,1.7433475691889013e-09,0.7498942093324559,2.3716991225455974e-07,2.3716991225455974e-07,0.012665147955292222,True,False,True,True,False,1.5421135858367292e-32,159.05817412955582,19.263927462201394
1e-12,153992652605.9492,100000000000000.0,1.0,zero,153992652605.9492,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,4.214367484568712e-37,3.1180966154638926e-35,2.0388353987683195e+29,-1.0406330369441609e-53,4.223354530332044e-23,0.010681766355565244,0.0,0.0,0.0,0.0,0.0,0.010681766355565244,0.010681766355565244,0.6493816315762113,0.0015399265260594918,1.7433475691889013e-09,0.6493816315762113,1.77852343827581e-07,1.77852343827581e-07,0.012665147955292222,True,False,True,True,False,2.056441517543514e-32,158.91426256124367,19.120015893889246
1e-12,177827941003.89227,100000000000000.0,1.0,zero,177827941003.89227,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,3.1603297726770653e-37,2.3382425960755024e-35,1.5289108593183912e+29,-1.0406330369441609e-53,4.223354530332044e-23,0.008010194735480628,0.0,0.0,0.0,0.0,0.0,0.008010194735480628,0.008010194735480628,0.5623413251903491,0.0017782794100389228,1.7433475691889013e-09,0.5623413251903491,1.3337044275250793e-07,1.3337044275250793e-07,0.012665147955292222,True,False,True,True,False,2.7423088376347465e-32,158.77035099293155,18.976104325577126
1e-12,205352502645.7146,100000000000000.0,1.0,zero,205352502645.7146,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,2.3699129961114877e-37,1.7534345828115075e-35,1.1465213999883705e+29,-1.0406330369441609e-53,4.223354530332044e-23,0.006006798647762246,0.0,0.0,0.0,0.0,0.0,0.006006798647762246,0.006006798647762246,0.4869675251658631,0.002053525026457146,1.7433475691889013e-09,0.4869675251658631,1.000137227162115e-07,1.000137227162115e-07,0.012665147955292222,True,False,True,True,False,3.6569276085968273e-32,158.62643942461943,18.832192757265005
1e-12,237137370566.16553,100000000000000.0,1.0,zero,237137370566.16553,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.7771840324057355e-37,1.3148904400936201e-35,8.597697587270194e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.004504463522582933,0.0,0.0,0.0,0.0,0.0,0.004504463522582933,0.004504463522582933,0.4216965034285822,0.0023713737056616554,1.7433475691889013e-09,0.4216965034285822,7.499971151866889e-08,7.499971151866889e-08,0.012665147955292222,True,False,True,True,False,4.876591341933641e-32,158.4825278563073,18.688281188952885
1e-12,273841963426.43613,100000000000000.0,1.0,zero,273841963426.43613,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.3327000148191647e-37,9.860287269328102e-36,6.447363634285547e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.0033778711117342175,0.0,0.0,0.0,0.0,0.0,0.0033778711117342175,0.0033778711117342175,0.3651741272548377,0.0027384196342643613,1.7433475691889013e-09,0.3651741272548377,5.624184936945449e-08,5.624184936945449e-08,0.012665147955292222,True,False,True,True,False,6.503039070370615e-32,158.3386162879952,18.544369620640765
1e-12,316227766016.83795,100000000000000.0,1.0,zero,316227766016.83795,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.993840238901695e-38,7.394172325623675e-36,4.8348406548113876e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.002533045986560874,0.0,0.0,0.0,0.0,0.0,0.002533045986560874,0.002533045986560874,0.31622776601683794,0.0031622776601683794,1.7433475691889013e-09,0.31622776601683794,4.217543716430215e-08,4.217543716430215e-08,0.012665147955292222,True,False,True,True,False,8.671941974534674e-32,158.19470471968305,18.400458052328617
1e-12,365174127254.8377,100000000000000.0,1.0,zero,365174127254.8377,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,7.494322924146067e-38,5.544847009791492e-36,3.625619010088198e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.0018995165172948172,0.0,0.0,0.0,0.0,0.0,0.0018995165172948172,0.0018995165172948172,0.27384196342643613,0.003651741272548377,1.7433475691889013e-09,0.27384196342643613,3.1627116105575033e-08,3.1627116105575033e-08,0.012665147955292222,True,False,True,True,False,1.1564220481518722e-31,158.05079315137093,18.256546484016496
1e-12,421696503428.5823,100000000000000.0,1.0,zero,421696503428.5823,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,5.619949363684613e-38,4.1580486642770226e-36,2.7188307009108102e+28,-1.0406330369441609e-53,4.223354530332044e-23,0.001424436436850737,0.0,0.0,0.0,0.0,0.0,0.001424436436850737,0.001424436436850737,0.23713737056616552,0.004216965034285823,1.7433475691889013e-09,0.23713737056616552,2.3716991225455968e-08,2.3716991225455968e-08,0.012665147955292222,True,False,True,True,False,1.5421135858367294e-31,157.9068815830588,18.112634915704376
