epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0001,0.02,-3.912023005428146,199.88418366244798,-1.5071707574839024,0.6590206048497219,0.04783075587844827,134.24636068621754,1.5056171690125586,7.513712978358471e-05,0.005664827387217826,0.9855160581258878,0.014391663071044716,1.0,0.9903043424806308,1.0,0.9903119430616388
0.0001,0.020019110799585467,-3.9110679216865862,199.59666316173968,-1.5071639118171005,0.6590270428969417,0.04790012438071579,134.24779867383114,1.505611169214047,7.513693949828268e-05,0.005659359208573613,0.9855295507299979,0.014378121236230317,1.0009462753538165,0.9903134310065185,1.000946282611301,0.9903210136534132
0.0001,0.020038239860303963,-3.910112837945027,199.30955754326493,-1.5071570722145993,0.6590334759873001,0.04796959280860763,134.24923665571683,1.5056051744759862,7.513674940815515e-05,0.005653895182050134,0.9855430306372173,0.014364591955851382,1.0018934548372957,0.9903225109209408,1.0018934693488595,0.9903300756758582
0.0001,0.020057387199604752,-3.9091577542034672,199.022866205343,-1.5071502386701379,0.6590399041241989,0.04803916130561265,134.25067463187943,1.5055991847965209,7.513655951317725e-05,0.005648435305495513,0.985556497858431,0.01435107521861426,1.0028415393142014,0.9903315822315067,1.0028415610764507,0.9903391291364849
0.0001,0.020076552834953736,-3.9082026704619075,198.73658854717283,-1.5071434111774593,0.6590463273110385,0.0481088300154255,134.25211260232385,1.505593200173793,7.513636981332302e-05,0.00564297957676821,0.9855699524045128,0.0143375710132349,1.0037905296491216,0.9903406449458181,1.0037905586586726,0.9903481740427966
0.0001,0.02009573678383353,-3.9072475867203478,198.4507239688321,-1.5071365897303084,0.6590527455512186,0.04817859908194686,134.25355056705484,1.5055872206059422,7.513618030856663e-05,0.005637527993722144,0.9855833942863258,0.014324079328438653,1.0047404267074673,0.9903496990714691,1.0047404629609498,0.9903572104022897
0.0001,0.020114939063743426,-3.9062925029787885,198.16527187127582,-1.507129774322434,0.6590591588481373,0.048248468649283754,134.25498852607726,1.5055812460911053,7.513599099888161e-05,0.0056320805542162174,0.9855968235147228,0.014310600152960368,1.0056912313554798,0.9903587446160462,1.0056912748495326,0.990366238222453
0.0001,0.020134159692199477,-3.9053374192372288,197.8802316563338,-1.5071229649475866,0.6590655672051916,0.048318438861750114,134.2564264793959,1.5055752766274166,7.513580188424076e-05,0.005626637256115395,0.9856102401005454,0.014297133475544422,1.0066429444602258,0.9903677815871288,1.0066429951915,0.9903752575107679
0.0001,0.020153398686734447,-3.904382335495669,197.5956027267116,-1.5071161615995206,0.6590719706257776,0.04838850986386656,134.25786442701565,1.505569312213008,7.513561296461668e-05,0.005621198097284174,0.9856236440546252,0.014283679284944575,1.0075955668895986,0.9903768099922882,1.0075956248547573,0.9903842682747092
0.0001,0.020172656064897855,-3.9034272517541093,197.31138448598725,-1.507109364271994,0.6590783691132899,0.04845868180036116,134.2593023689413,1.505563352846009,7.513542423998172e-05,0.0056157630755874636,0.9856370353877825,0.014270237569924146,1.0085490995123232,0.9903858298390886,1.0085491647080391,0.9903932705217436
0.0001,0.020191931844255984,-3.90247216801255,197.02757633861128,-1.5071025729587653,0.6590847626711223,0.04852895481616947,134.26074030517765,1.5055573985245465,7.51352357103074e-05,0.005610332188897632,0.9856504141108275,0.014256808319255838,1.0095035431979509,0.9903948411350867,1.0095036156209094,0.990402264259331
0.0001,0.020211226042391933,-3.9015170842709903,196.74417768990446,-1.5070957876535993,0.6590911513026669,0.048599329056434944,134.26217823572952,1.5055514492467446,7.513504737556539e-05,0.005604905435081129,0.9856637802345596,0.014243391521721788,1.0104588988168668,0.9904038438878313,1.0104589784637639,0.9904112494949239
0.0001,0.020230538676905566,-3.9005620005294306,196.46118794605724,-1.5070890083502604,0.6590975350113154,0.048669804666509164,134.26361616060177,1.5055455050107247,7.513485923572615e-05,0.005599482812017206,0.9856771337697667,0.014229987166113631,1.011415167240284,0.9904128381048644,1.0114152541078272,0.9904202262359674
0.0001,0.020249869765413573,-3.8996069167878713,196.17860651412786,-1.5070822350425186,0.6591039138004576,0.04874038179195224,134.26505407979917,1.5055395658146062,7.513467129076052e-05,0.005594064317577902,0.9856904747272281,0.014216595241232444,1.0123723493402488,0.9904218237937197,1.0123724434251569,0.9904291944898995
0.0001,0.020269219325549506,-3.8986518330463116,195.89643280204146,-1.5070754677241454,0.6591102876734826,0.048811060578533016,134.26649199332653,1.5055336316565053,7.513448354063813e-05,0.005588649949646082,0.9857038031177104,0.014203215735888671,1.0133304459896413,0.990430800961924,1.013330547288644,0.9904381542641509
0.0001,0.020288587374963724,-3.897696749304752,195.6146662185892,-1.5070687063889143,0.6591166566337782,0.04888184117222928,134.2679299011887,1.5055277025345362,7.513429598532871e-05,0.005583239706101364,0.9857171189519701,0.014189848638902174,1.014289458062174,0.9904397696169964,1.014289566572012,0.990447105566145
