model,index,N,z,k,delta_k,delta_log_Mhol2,delta_log_s,log_R,delta_log_R,mass_delta_g_inverse2,anomaly_delta_g_inverse2,physical_uv_delta_f,matched_delta_g_inverse2,holomorphic_uv_delta_alpha,physical_uv_delta_alpha,split_delta_alpha,taylor_delta_alpha,shape_chi,shape_time,shape_matched,kahler_delta_g_inverse2,kahler_wrong_boundary_delta_g_inverse2,kahler_negative_control_shift,kahler_mass_invariance_error,kahler_negative_control_residual,konishi_delta_g_inverse2,konishi_wrong_boundary_delta_g_inverse2,konishi_negative_control_shift,konishi_mass_invariance_error,konishi_negative_control_residual,high_low_identity_residual,scalar_min_over_s
global,0,-1.6486586255873816,4.2,0.0,0.0,0.0153937140462468721983517146157,0.0153937140462468721983517146157,-2.74268892726048906987633843722e-91,-2.70732434774203834674559608848e-91,-0.000194963665977176721987170838276,0.0,0.0,-0.000194963665977176721987170838276,0.0000178787289618073604928863146333,0.0000178787289618073604928863146333,-5.24070880197647677305346032841e-95,0.0000180170503100489245926538409999,1.0,1.0,1.0,-0.000194963665977176721987170838276,-0.000194963665977176721987170838276,0.0,2.95893644731453514595894009708e-180,1.41794601437938250091679872648e-182,-0.000194963665977176721987170838276,-0.00237543615114286213741813773402,-0.00218047248516568541543096689574,2.95893644731453514595894009708e-180,1.08258118940168622476635255466e-182,1.41794601437938250091679872648e-182,1.0
global,1,-1.6470486073983315,4.191634641413708,0.0,0.0,0.0153762955891976791476482162125,0.0153762955891976791476482162125,-2.729426262107322821672204499e-91,-2.69406168258887209854146215026e-91,-0.000194743058641495789240217458606,0.0,0.0,-0.000194743058641495789240217458606,0.0000178584982732892384276523843448,0.0000178584982732892384276523843448,-5.21503535899968188422014672591e-95,0.0000179965059600017261694650121931,0.998859747851407413104346875459,0.998906773895107524759329690014,0.998868449286225045766443783817,-0.000194743058641495789240217458606,-0.000194743058641495789240217458606,0.0,-3.41421690908172826846612772623e-180,4.49506537338526236805159430303e-182,-0.000194743058641495789240217458606,-0.00237278630940794290363350339827,-0.00217804325076644711439328593967,-3.41421690908172826846612772623e-180,7.10738085215889651911822764144e-182,4.49506537338526236805159430303e-182,1.0
global,2,-1.6454385892092813,4.183282740370546,0.0,0.0,0.0153588783909207965484139861401,0.0153588783909207965484139861401,-2.7162282233212490764978880408e-91,-2.68086364380279835336714569207e-91,-0.000194522467248352410386155454697,0.0,0.0,-0.000194522467248352410386155454697,0.0000178382690475922338653309954051,0.0000178382690475922338653309954051,-5.18948701873152594468271757717e-95,0.000017975963453277417535143177141,0.997719597964044530178683312303,0.99781363418805002706199535732,0.997736980391527981678159528045,-0.000194522467248352410386155454697,-0.000194522467248352410386155454697,0.0,-4.55236850092328453584233710045e-181,-1.13759278788486973673138188284e-181,-0.000194522467248352410386155454697,-0.00237013657454648039016180656369,-0.002175614107298127979775651109,-4.55236850092328453584233710045e-181,-1.68035428094087818365907766092e-181,-1.13759278788486973673138188284e-181,1.0
global,3,-1.6438285710202312,4.174944275221058,0.0,0.0,0.015341462454351959332358005204,0.015341462454351959332358005204,-2.70309449590574230370612826388e-91,-2.66772991638729158057538591515e-91,-0.000194301891834928102692598774114,0.0,0.0,-0.000194301891834928102692598774114,0.000017818041288125881936751343984,0.000017818041288125881936751343984,-5.16406317140152301633165071952e-95,0.0000179554227932543916596466158712,0.996579550525431483502639498081,0.996720580993591194947310382337,0.996605593506612248573288687742,-0.000194301891834928102692598774114,-0.000194301891834928102692598774114,0.0,3.41433583903105430477421265374e-180,-1.18995676932875564651627610967e-181,-0.000194301891834928102692598774114,-0.00236748694701830729971630895765,-0.00217318505518337919702371018354,3.41433583903105430477421265374e-180,-1.45442429358748279762088234517e-181,-1.18995676932875564651627610967e-181,1.0
global,4,-1.642218552831181,4.166619224350615,0.0,0.0,0.0153240477824402920647849157653,0.0153240477824402920647849157653,-2.69002476639958936933198021612e-91,-2.65466018688113864620123786739e-91,-0.000194081332438573965117717569406,0.0,0.0,-0.000194081332438573965117717569406,0.0000177978149983152686381966894368,0.0000177978149983152686381966894368,-5.1387632102112712113770085915e-95,0.0000179348839833265997635732750016,0.995439605723951948907489396862,0.995627614427061949458114426265,0.995474288823051084325728617053,-0.000194081332438573965117717569406,-0.000194081332438573965117717569406,0.0,-1.59338447290737141470713506425e-180,-4.75982707731502258606510443868e-182,-0.000194081332438573965117717569406,-0.00236483742728535101919003293015,-0.00217075609484677705407231536074,-1.59338447290737141470713506425e-180,-1.88274989461162821698496096462e-182,-4.75982707731502258606510443868e-182,1.0
global,5,-1.6406085346421309,4.158307566179361,0.0,0.0,0.0153066343781486698227043762065,0.0153066343781486698227043762065,-2.6770187228696319592379234668e-91,-2.64165414335118123610718111807e-91,-0.000193860789096815248884886998547,0.0,0.0,-0.000193860789096815248884886998547,0.0000177775901816014499706101649044,0.0000177775901816014499706101649044,-5.11358653132040321538996923007e-95,0.0000179143470269039756012227207029,0.994299763748876694501823174607,0.994534734604363394666820472209,0.994343066533310967301695167583,-0.000193860789096815248884886998547,-0.000193860789096815248884886998547,0.0,-3.41445475585064970766127521317e-180,4.53625052732989173529814032413e-182,-0.000193860789096815248884886998547,-0.00236218801581168885082223142316,-0.00216832722671487360193734442461,-3.41445475585064970766127521317e-180,2.447574862995116682080449254e-182,4.53625052732989173529814032413e-182,1.0
global,6,-1.6389985164530805,4.150009279162154,0.0,0.0,0.0152892222444540063608981645333,0.0152892222444540063608981645333,-2.66407605490348488935944811952e-91,-2.62871147538503416622870577079e-91,-0.00019364026184735500714856278671,0.0,0.0,-0.00019364026184735500714856278671,0.0000177573668414417866272270339214,0.0000177573668414417866272270339214,-5.08853253383249013628931091552e-95,0.0000178938119274127739469454786745,0.993160024790382367514278041626,0.993441941641968814354985713965,0.993211926830770336238130799486,-0.00019364026184735500714856278671,-0.00019364026184735500714856278671,0.0,-6.82902841862191451260427829246e-181,-3.52721425568647223775776280715e-182,-0.00019364026184735500714856278671,-0.00235953871306359219033772046752,-0.00216589845121623718318915768081,-6.82902841862191451260427829246e-181,-8.84892450467465261982931653371e-182,-3.52721425568647223775776280715e-182,1.0
global,7,-1.6373884982640303,4.141724341788515,0.0,0.0,0.0152718113843464527024693172597,0.0152718113843464527024693172597,-2.65119645360148164036817576078e-91,-2.61583187408303091723743341205e-91,-0.000193419750728063945025013300767,0.0,0.0,-0.000193419750728063945025013300767,0.0000177371449813090131926242854156,0.0000177371449813090131926242854156,-5.06360061977944944240326693988e-95,0.0000178732786882946240829075071543,0.992020389039498961153336886095,0.99234923565692667651117616934,0.992080869909667528323068494219,-0.000193419750728063945025013300767,-0.000193419750728063945025013300767,0.0,1.36582946378309136646933326033e-180,2.28577604392692988218330417111e-182,-0.000193419750728063945025013300767,-0.00235688951950940492367560468584,-0.00216346976878134097865059138508,1.36582946378309136646933326033e-180,7.06031210479360581369360361732e-183,2.28577604392692988218330417111e-182,1.0
global,8,-1.6357784800749802,4.133452732582567,0.0,0.0,0.0152544018008304116931933277112,0.0152544018008304116931933277112,-2.63837961157000794321199742942e-91,-2.60301503205155722008125508069e-91,-0.000193199255776993269073286161295,0.0,0.0,-0.000193199255776993269073286161295,0.0000177169246046924164947647355843,0.0000177169246046924164947647355843,-5.03879019410863984748970340258e-95,0.0000178527473130077249601664226114,0.99088085668817614860455308843,0.991256616766862348352428725581,0.990949895965166687239017784847,-0.000193199255776993269073286161295,-0.000193199255776993269073286161295,0.0,-3.64227531336586147267510433259e-180,1.16200970058061429017040559535e-181,-0.000193199255776993269073286161295,-0.00235424043561969812612734317746,-0.00216104117984270485705405701617,-3.64227531336586147267510433259e-180,1.5485617883180642084701303934e-181,1.16200970058061429017040559535e-181,1.0
global,9,-1.63416846188593,4.125194430102984,0.0,0.0,0.0152369934969241723872162938314,0.0152369934969241723872162938314,-2.62562522291384207251444950197e-91,-2.59026064339539134938370715323e-91,-0.000192978777032370056735980713681,0.0,0.0,-0.000192978777032370056735980713681,0.0000176967057150974109587154195593,0.0000176967057150974109587154195593,-5.01410066466803341591526267466e-95,0.0000178322178050264126245726263539,0.989741427929259274483962745997,0.990164085089980909451206140083,0.989819005193334011682503507016,-0.000192978777032370056735980713681,-0.000192978777032370056735980713681,0.0,-9.10584679938330992148788487699e-181,-8.36352804747009222013788128502e-182,-0.000192978777032370056735980713681,-0.00235159146186721477118570082059,-0.00215861268483484471444972010691,-9.10584679938330992148788487699e-181,-1.17671868413226763561560060289e-181,-8.36352804747009222013788128502e-182,1.0
