T_K,nH_cm3,Lvol_erg_cm3_s,Lambda_per_nH_squared_erg_cm3_s,tcool_s,mu,tau_chem_s,L_excitation_HI_erg_cm3_s,L_excitation_HeII_erg_cm3_s,L_ionization_HI_erg_cm3_s,L_ionization_HeI_erg_cm3_s,L_ionization_HeII_erg_cm3_s,L_recombination_HII_erg_cm3_s,L_recombination_HeII_erg_cm3_s,L_recombination_HeIII_erg_cm3_s,L_dielectronic_HeII_erg_cm3_s,L_freefree_erg_cm3_s
10000.0,1e-06,5.050436122304303e-39,5.0504361223043026e-27,4.429317030893294e+20,1.2181346603943854,1.8997708716532291e+21,5.0329101315531314e-39,4.791622399904628e-64,1.6473574155656577e-41,2.78392795599252e-48,2.3071032381754146e-72,7.859229064980706e-43,7.299154392079889e-50,2.741890659395775e-74,7.865614642619733e-65,2.6649083209737286e-43
10592.537251772897,1e-06,2.498057508069909e-38,2.498057508069909e-26,9.502403925218797e+19,1.215976074970617,7.66282652398627e+20,2.4869005498883154e-38,8.849453833208249e-62,1.0447059843056342e-40,3.6100388881103717e-47,1.0851084034299029e-69,5.279419766689281e-42,1.0025970860298866e-48,1.3660173963078311e-71,1.3452313795556606e-62,1.8195265156987108e-42
11220.18454301963,1e-06,1.1273412941604933e-37,1.1273412941604934e-25,2.2397078328661897e+19,1.2109164115871422,3.256133161960982e+20,1.120940528718285e-37,1.2230608278327264e-59,5.9692878814357105e-40,4.063469107026473e-46,3.63514414868049e-67,3.1953220462185743e-41,1.195395234379196e-47,4.847354036391222e-69,1.7239486859450993e-60,1.1194117314189697e-41
11885.022274370189,1e-06,4.636145234171571e-37,4.636145234171571e-25,5.82238612711261e+18,1.1997835788758677,1.4580156582397823e+20,4.60307001635652e-37,1.2815147890148954e-57,3.07134845172238e-39,3.9889616054550344e-45,8.81168613144481e-65,1.7414908728110277e-40,1.2430094029649521e-46,1.2446353244723398e-66,1.677012150135547e-58,6.202012923903367e-41
12589.254117941662,1e-06,1.7250599136384663e-36,1.7250599136384663e-24,1.6894391556401518e+18,1.1771023064499977,6.902163291309095e+19,1.7097655732894476e-36,1.0274763171832363e-55,1.4137743891835076e-38,3.4200383384210983e-44,1.564036852945168e-62,8.49126161664768e-40,1.128874160427672e-45,2.3400766620032638e-64,1.2497946575902557e-56,3.0743496626071298e-40
13335.21432163324,1e-06,5.7130966998149445e-36,5.713096699814944e-24,5.601969247949576e+17,1.1353993833932692,3.4818194236563632e+19,5.650802078150815e-36,6.328446676249215e-54,5.730645010432251e-38,2.5521528991716157e-43,2.0457834936442312e-60,3.645823317718706e-39,8.9232127388408e-45,3.2422221879406517e-62,7.16334289195791e-55,1.3420841035854449e-39
14125.375446227554,1e-06,1.6372723171461838e-35,1.637272317146184e-23,2.199551825675623e+17,1.0688230997176043,1.8976806867071955e+19,1.6155318445258058e-35,2.9864229296566244e-52,1.989752435314214e-37,1.6417619125283988e-42,1.971327104859325e-58,1.3408838393948707e-38,6.080296167044084e-44,3.309343108828274e-60,3.149205174204789e-53,5.0189417135341596e-39
14962.356560944329,1e-06,3.9121978654041246e-35,3.912197865404125e-23,1.0629555058480885e+17,0.9804490992376035,1.1381099918667962e+19,3.84952401591354e-35,1.0714158276725731e-50,5.705046610661845e-37,8.974411388090733e-42,1.3916213236517108e-56,4.072408250839447e-38,3.520631184858004e-43,2.47459526791778e-58,1.0536634008197837e-51,1.5500424856745394e-38
15848.93192461114,1e-06,7.542944613891804e-35,7.542944613891805e-23,6.465388847570705e+16,0.8855750674787942,7.632824626584131e+18,7.398436479176596e-35,2.904160851548371e-49,1.3078689892349164e-36,4.1171645455274886e-41,7.167210059102635e-55,9.889090561687756e-38,1.7108533395580328e-42,1.3499983461290728e-56,2.666293060250754e-50,3.8278569801188535e-38
16788.040181225588,1e-06,1.1638462110268277e-34,1.1638462110268277e-22,4.8973855057778616e+16,0.8026035213494613,5.746242731276083e+18,1.1374031571238004e-34,5.979934009780234e-48,2.3786290190733794e-36,1.5845138825346872e-40,2.7130187239850985e-53,1.9051045954419787e-37,6.974460283625627e-42,5.412973418473218e-55,5.1305536444528555e-49,7.500048583011941e-38
