label,epsilon,a,N,E,dlnE,t_Gyr,y,y_N,Delta,delta,comoving_radius_Mpc_h,physical_radius_Mpc_h,physical_radial_velocity_km_s,peculiar_radial_velocity_km_s
clock,0.0001,0.02,-3.912023005428146,199.88418366244795,-1.5071707574839024,0.04783075587844827,0.9768021172143073,-0.02192367208586432,1.0729518259721813,0.0729518259721813,2.442005293035768,0.04884010586071537,954.3254925068321,-21.910976488830936
clock,0.0001,0.02001572408128176,-3.91123711026058,199.64756580568587,-1.5071651240525006,0.04788782879965628,0.9767848799975329,-0.02194278336590803,1.0730086297678811,0.07300862976788114,2.4419621999938323,0.048877641611996335,953.9088794803941,-21.921337535382705
clock,0.0001,0.020031460524900135,-3.9104512150930137,199.411228933652,-1.507159494727871,0.047944969362675546,0.9767676277558668,-0.02196190846481425,1.0730654870918734,0.07306548709187344,2.441919069389667,0.048915205443479985,953.4924223611148,-21.931700741525965
clock,0.0001,0.020047209340574426,-3.909665319925448,199.17517271104992,-1.5071538695066427,0.04800217764545214,0.9767503604784432,-0.021981047396433917,1.0731223979908213,0.07312239799082132,2.441875901196108,0.04895279737498221,953.0761210727395,-21.942066112371823
clock,0.0001,0.020062970538031605,-3.908879424757882,198.9393968029255,-1.507148248385263,0.0480594537297217,0.9767330781543857,-0.022000200174628115,1.0731793625114447,0.07317936251144475,2.441832695385964,0.0489904174263309,952.6599755387583,-21.95243365302161
clock,0.0001,0.02007874412700629,-3.9080935295903156,198.70390087474388,-1.5071426313602265,0.04811679769639598,0.9767157807728069,-0.022019366813268052,1.0732363807005205,0.07323638070052052,2.441789451932017,0.0490280656173659,952.2439856827756,-21.962803368575397
clock,0.0001,0.020094530117240723,-3.9073076344227498,198.46868459236742,-1.5071370184280357,0.04817420962619782,0.9766984683228083,-0.02203854732623509,1.0732934526048834,0.0732934526048834,2.4417461708070207,0.049065741967938885,951.8281514284052,-21.973175264129548
clock,0.0001,0.020110328518484835,-3.906521739255184,198.2337476220134,-1.5071314095852697,0.04823168959690093,0.9766811407934809,-0.022057741727420793,1.073350578271424,0.0733505782714241,2.441702851983702,0.0491034464979136,951.412472699072,-21.98354934477222
clock,0.0001,0.02012613934049622,-3.9057358440876175,197.9990896303375,-1.5071258048284497,0.0482892376887456,0.9766637981739044,-0.022076950030726936,1.0734077577470924,0.0734077577470924,2.441659495434761,0.04914117922716569,950.9969494184132,-21.99392561559263
clock,0.0001,0.020141962593040116,-3.9049499489200516,197.76471028441134,-1.5071202041540752,0.048346853983020265,0.9766464404531479,-0.022096172250065473,1.0734649910788936,0.0734649910788936,2.44161610113287,0.04917894017558271,950.5815815101728,-22.004304081678537
clock,0.0001,0.02015779828588947,-3.9041640537524858,197.5306092517078,-1.5071146075586481,0.048404538561112875,0.9766290676202692,-0.022115408399358584,1.073522278313892,0.07352227831389202,2.441572669050673,0.04921672936306423,950.1663688981348,-22.014684748114828
clock,0.0001,0.020173646428824903,-3.90337815858492,197.2967862000986,-1.5071090150386715,0.048462291504510945,0.9766116796643154,-0.022134658492538633,1.073579619499209,0.0735796194992091,2.4415291991607884,0.049254546809521765,949.7513115061133,-22.025067619983172
clock,0.0001,0.020189507031634725,-3.9025922634173535,197.06324079783812,-1.5071034265906766,0.04852011289364244,0.9765942765743227,-0.02215392254354815,1.073637014682023,0.0736370146820231,2.441485691435807,0.049292392534878784,949.3364092578774,-22.035452702360292
clock,0.0001,0.020205380104114927,-3.9018063682497877,196.82997271354776,-1.5070978422112478,0.04857800280693648,0.9765768583393161,-0.022173200566339764,1.0736944639095711,0.07369446390957113,2.4414421458482902,0.0493302665590707,948.9216620770761,-22.045840000316115
clock,0.0001,0.020221265656069222,-3.9010204730822218,196.59698161629433,-1.5070922618968952,0.04863596132596667,0.9765594249483098,-0.022192492574876585,1.0737519672291471,0.07375196722914712,2.4413985623707743,0.049368168902044915,948.5070698876208,-22.056229518923065
clock,0.0001,0.020237163697309032,-3.9002345779146554,196.3642671755454,-1.5070866856441272,0.048693988532600055,0.9765419763903069,-0.022211798583132023,1.0738095246881036,0.07380952468810364,2.441354940975767,0.04940609958376083,948.0926326134705,-22.066621263250877
clock,0.0001,0.02025307423765347,-3.8994486827470896,196.13182906116654,-1.5070811134494542,0.04875208450880366,0.9765245126542998,-0.022231118605089688,1.0738671363338501,0.07386713633385011,2.4413112816357496,0.04944405862418977,947.6783501786224,-22.07701523836626
clock,0.0001,0.020268997286929387,-3.8986627875795237,195.89966694342047,-1.5070755453093885,0.048810249336635046,0.9765070337292695,-0.022250452654743538,1.0739248022138552,0.07392480221385522,2.4412675843231737,0.04948204604331506,947.2642225071088,-22.087411449333025
clock,0.0001,0.020284932854971367,-3.8978768924119573,195.66778049292705,-1.507069981220501,0.048868483095664314,0.9764895396041864,-0.02226980074609783,1.073982522375644,0.07398252237564407,2.441223849010466,0.04952006186113206,946.850249522808,-22.097809901207544
clock,0.0001,0.020300880951621695,-3.8970909972443915,195.43616938071114,-1.5070644211793551,0.04892678586611896,0.9764720302680094,-0.022289162893167107,1.0740402968668015,0.07404029686680147,2.4411800756700237,0.04955810609764799,946.4364311496746,-22.108210599044153
clock,0.0001,0.020316841586730423,-3.8963051020768256,195.20483327822467,-1.5070588651824646,0.048985157730347784,0.9764545057096868,-0.02230853910997626,1.0740981257349698,0.07409812573496977,2.441136264274217,0.04959617877288216,946.022767311851,-22.118613547897798
clock,0.0001,0.02033281477015535,-3.8955192069092592,194.97377185731347,-1.5070533132263457,0.04904359877080033,0.976436965918156,-0.022327929410560513,1.0741560090278486,0.07415600902784858,2.44109241479539,0.04963427990686589,945.6092579335107,-22.129018752820347
clock,0.0001,0.02034880051176199,-3.8947333117416933,194.74298479021905,-1.5070477653075174,0.04910210907002688,0.9764194108823427,-0.02234733380896542,1.0742139467931975,0.07421394679319748,2.441048527205857,0.04967240951964239,945.1959029388643,-22.139426218860766
clock,0.0001,0.02036479882142365,-3.8939474165741275,194.51247174957047,-1.5070422214225092,0.04916068871026827,0.9764018405911622,-0.022366752319246945,1.0742719390788336,0.07427193907883356,2.4410046014779057,0.04971056763126696,944.7827022521283,-22.149835951064418
clock,0.0001,0.020380809709021397,-3.893161521406561,194.28223240834595,-1.5070366815679193,0.04921933777080501,0.9763842550335186,-0.022386184955471476,1.0743299859326318,0.07432998593263185,2.4409606375837964,0.049748754261806895,944.369655797337,-22.16024795446869
clock,0.0001,0.020396833184444033,-3.8923756262389952,194.05226643995638,-1.5070311457402885,0.049278056333686975,0.9763666541983045,-0.022405631731715826,1.0743880874025273,0.07438808740252734,2.4409166354957614,0.04978696943134142,943.9567634987504,-22.170662234112534
clock,0.0001,0.020412869257588163,-3.8915897310714294,193.82257351821744,-1.5070256139361395,0.04933684448184891,0.9763490380744022,-0.02242509266206733,1.0744462435365119,0.07444624353651186,2.4408725951860055,0.04982521315996185,943.5440252807225,-22.181078795033464
clock,0.0001,0.020428917938358174,-3.8908038359038635,193.59315331733683,-1.5070200861519976,0.049395702298327016,0.9763314066506823,-0.022444567760623552,1.0745044543826372,0.0745044543826372,2.4408285166267056,0.04986348546777148,943.1314410676423,-22.191497642265926
clock,0.0001,0.020444979236666237,-3.890017940736297,193.36400551191343,-1.5070145623843894,0.04945462986625902,0.9763137599160046,-0.022464057041492576,1.0745627199890133,0.07456271998901332,2.4407843997900116,0.04990178637488565,942.7190107839301,-22.201918780841446
clock,0.0001,0.020461053162432297,-3.8892320455687313,193.13512977691852,-1.5070090426298735,0.049513627267476164,0.9762960978592177,-0.0224835605187929,1.074621040403809,0.07462104040380901,2.440740244648044,0.049940115901431645,942.3067343539489,-22.212342215786457
clock,0.0001,0.02047713972558412,-3.8884461504011654,192.90652578768783,-1.5070035268850486,0.04957269458214279,0.9762784204691591,-0.022503078206653527,1.0746794156752522,0.07467941567525216,2.440696051172898,0.049978474067548836,941.8946117019683,-22.222767952121526
clock,0.0001,0.020493238936057277,-3.887660255233599,192.67819321999178,-1.506998015146448,0.04963183189356274,0.9762607277346553,-0.022522610119213953,1.0747378458516297,0.07473784585162968,2.4406518193366384,0.05001686089338863,941.482642752509,-22.233195994869448
clock,0.0001,0.02050935080379513,-3.886874360066033,192.45013174999326,-1.506992507410603,0.04969103928526086,0.9762430196445216,-0.022542156270624152,1.0747963309812867,0.07479633098128669,2.440607549111304,0.05005527639911438,941.0708274301387,-22.24362634905042
clock,0.0001,0.020525475338748878,-3.8860884648984673,192.22234105424357,-1.506987003674047,0.04975031684086421,0.9762252961875624,-0.022561716675044672,1.0748548711126278,0.07485487111262779,2.440563240468906,0.050093720604901575,940.6591656594561,-22.254059019681783
clock,0.0001,0.02054161255087755,-3.885302569730901,191.994820809683,-1.5069815039333145,0.04980966464406246,0.9762075573525704,-0.022581291346646586,1.0749134662941175,0.07491346629411755,2.4405188933814257,0.05013219353093769,940.247657365095,-22.264494011778044
