phase,mG_eV,index,y,V_error,Vx_error,Vy_error
zero,0.0,0,0.0,0.0,0.0,0.0
zero,0.0,512,0.013,0.0,0.0,0.0
zero,0.0,1024,-0.017,1.1958527453932408e-241,0.0,0.0
zero,1e-33,0,0.0,0.0,0.0,0.0
zero,1e-33,512,0.013,1.1952583700301864e-241,0.0,0.0
zero,1e-33,1024,-0.017,1.1957111614364347e-241,0.0,0.0
zero,1e-17,0,0.0,8.005356901483906e-223,5.3274190555542394e-232,0.0
zero,1e-17,512,0.013,3.903374829316766e-234,3.059457674307051e-232,0.0
zero,1e-17,1024,-0.017,2.3632320102414977e-234,1.5300902633442383e-231,0.0
zero,1e-06,0,0.0,1.0034240956717313e-212,6.939547914706144e-221,0.0
zero,1e-06,512,0.013,1.2885548474925113e-233,3.3136875429198226e-221,0.0
zero,1e-06,1024,-0.017,6.583139454152531e-234,8.272611567092885e-220,0.0
zero,1.0,0,0.0,1.1678032667136659e-206,8.54185635905853e-215,0.0
zero,1.0,512,0.013,1.2533913023125834e-233,5.304555778618704e-215,0.0
zero,1.0,1024,-0.017,1.4341354437502043e-234,1.3256200457762014e-214,0.0
zero,1000.0,0,0.0,1.1711614431347605e-202,2.729518581779638e-212,0.0
zero,1000.0,512,0.013,1.377706842066954e-233,1.7945411426867357e-211,0.0
zero,1000.0,1024,-0.017,1.4454555134651458e-233,3.933770841563139e-211,0.0
quadrature,0.0,0,0.0,0.0,0.0,0.0
quadrature,0.0,512,0.013,0.0,0.0,0.0
quadrature,0.0,1024,-0.017,1.1958527453932408e-241,0.0,0.0
quadrature,1e-33,0,0.0,2.3859471807418935e-241,0.0,0.0
quadrature,1e-33,512,0.013,2.3912546620421058e-241,0.0,0.0
quadrature,1e-33,1024,-0.017,2.3917038534602097e-241,0.0,0.0
quadrature,1e-17,0,0.0,1.4849592584600534e-209,5.86439106448888e-219,3.517227186871437e-232
quadrature,1e-17,512,0.013,5.696308474826099e-234,4.4267094251667655e-229,0.0
quadrature,1e-17,1024,-0.017,6.943878941127116e-235,1.6507632121824467e-228,0.0
quadrature,1e-06,0,0.0,2.1623866730677256e-188,6.662760873379672e-195,4.5191057428602083e-222
quadrature,1e-06,512,0.013,4.3569932766489985e-234,4.2025182743207016e-218,0.0
quadrature,1e-06,1024,-0.017,5.946476767480091e-234,5.536704108645307e-219,0.0
quadrature,1.0,0,0.0,5.4821529665617845e-176,3.0733854735704264e-183,1.4625619054836956e-214
quadrature,1.0,512,0.013,6.670703162156679e-234,5.460130257839492e-212,0.0
quadrature,1.0,1024,-0.017,2.433165854944725e-234,9.497307470786247e-212,0.0
quadrature,1000.0,0,0.0,3.5987887056961044e-170,6.404256997592948e-177,1.4840133545720156e-211
quadrature,1000.0,512,0.013,3.358681912601257e-233,6.081546527773711e-209,0.0
quadrature,1000.0,1024,-0.017,1.3610759323218432e-233,4.001819278106809e-209,0.0
pi,0.0,0,0.0,0.0,0.0,0.0
pi,0.0,512,0.013,0.0,0.0,0.0
pi,0.0,1024,-0.017,1.1958527453932408e-241,0.0,0.0
pi,1e-33,0,0.0,1.1941867581947856e-241,0.0,0.0
pi,1e-33,512,0.013,1.1959933328840196e-241,0.0,0.0
pi,1e-33,1024,-0.017,0.0,0.0,0.0
pi,1e-17,0,0.0,2.174914196327168e-223,9.473625984518445e-233,0.0
pi,1e-17,512,0.013,1.2862404365754782e-233,2.1188240038334482e-232,0.0
pi,1e-17,1024,-0.017,1.1684337645948557e-234,1.3380861139644492e-231,0.0
pi,1e-06,0,0.0,5.260532601736885e-212,4.726848962730379e-221,0.0
pi,1e-06,512,0.013,6.0527982840795365e-235,5.214732441136359e-221,0.0
pi,1e-06,1024,-0.017,3.617262355714363e-234,3.2278367261800208e-220,0.0
pi,1.0,0,0.0,2.067033716928825e-206,2.3257863881777734e-215,0.0
pi,1.0,512,0.013,2.352171103089805e-233,1.6357584962405978e-214,0.0
pi,1.0,1024,-0.017,3.363337030013301e-234,1.1725523964889897e-214,0.0
pi,1000.0,0,0.0,1.612158555127592e-202,1.405988579604491e-212,0.0
pi,1000.0,512,0.013,2.9740385831970633e-233,5.436446980653782e-212,0.0
pi,1000.0,1024,-0.017,4.0733404662423336e-234,2.1559100863707623e-211,0.0
