phase,mG_eV,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,0.0,0.0,0,5.58686196606909e-35,1024,4.313015790005271e-88,5.164984548207172e-46,1.0,0.0022401127324030413,2.2401127324030414e-14,9.449002880503996e-35,1.3820748046926226e-35,1.5507857737997442e-39,
zero,1e-36,0.0017901721367735296,1024,5.589764421767126e-35,1024,4.313017145930872e-88,5.264984548207172e-46,1.0,0.0022401131279968225,2.2401131279968224e-14,9.449006217806673e-35,1.3820752928289904e-35,1.550786869247062e-39,55.860549913502965
zero,1.7782794100389228e-36,0.00318342625124975,1024,5.591988533392757e-35,1024,4.3130196066868736e-88,5.342812489211064e-46,1.0,0.0022401139833797016,2.2401139833797017e-14,9.449013433977666e-35,1.3820763483147643e-35,1.550789237908324e-39,31.412695664220898
zero,3.1622776601683796e-36,0.0056610213559748265,1024,5.595868356670411e-35,1024,4.3130270216085535e-88,5.4812123142240094e-46,1.0,0.0022401166883314234,2.2401166883314234e-14,9.449036253477722e-35,1.3820796860485424e-35,1.5507967282729168e-39,17.664656907619108
zero,5.623413251903491e-36,0.010066877717120655,1024,5.60252974620684e-35,1024,4.3130498176043744e-88,5.7273258733975205e-46,1.0,0.0022401252420753376,2.2401252420753374e-14,9.449108414710289e-35,1.3820902408364567e-35,1.5508204148855372e-39,9.933566574463386
zero,1e-35,0.0179017213677353,1024,5.613622871743865e-35,1024,4.313120745353867e-88,6.164984548207171e-46,1.0,0.0022401522907437937,2.2401522907437937e-14,9.449336604937304e-35,1.3821236174760263e-35,1.5508953185314725e-39,5.586054991350296
zero,1.7782794100389227e-35,0.0318342625124975,1024,5.630969345351215e-35,1024,4.313342976643103e-88,6.943263958246094e-46,1.0,0.002240237819696244,2.240237819696244e-14,9.450058169531715e-35,1.382229158373675e-35,1.5511321846576776e-39,3.14126956642209
zero,3.162277660168379e-35,0.05661021355974825,1024,5.654289359025122e-35,1024,4.314042066963933e-88,8.32726220837555e-46,1.0,0.0022405082215421436,2.2405082215421437e-14,9.452339594625526e-35,1.3825628549743456e-35,1.5518812211170277e-39,1.7664656907619112
zero,5.62341325190349e-35,0.10066877717120654,1024,5.67195682790184e-35,1024,4.316246264214353e-88,1.0788397800110662e-45,1.0,0.002241362663573289,2.241362663573289e-14,9.459550473113186e-35,1.3836175666305411e-35,1.5542498823790804e-39,0.9933566574463386
zero,1e-34,0.17901721367735296,1024,5.628105892244901e-35,1024,4.3232049527496043e-88,1.5164984548207172e-45,1.0,0.0022440582352184295,2.2440582352184294e-14,9.482317185124077e-35,1.3869475792735544e-35,1.5617402469725765e-39,0.5586054991350297
