r,Dflat_metric_X,finiteF_metric_X,heavy_metric_shift,V_over_S,dV_dr_over_S,d2V_dr2_over_S,radial_kinetic_B,finiteF_radial_kinetic_B,kahler_metric_C,clock_metric,force_relative_Dflat_error,kinetic_relative_Dflat_error
0.0,1.0,1.00000000000000000000000500278359374999999999994994431262821,5.00278359374999999999994994431262821166992187587646220045112e-24,0.999999999999999999999997498608203125000000000025027843685894,-0.942809041582063365867783049467254853896812511157878362485022,1.77777777777777777777773330859027777777777777902360821903118,1.0,1.00000000000000000000000000000000000000000000088275707464517,1.0,1.0,1.00055671874999999999998248050941987408447265662562665733619e-23,8.82757074645173095092727887659275446878490434186980259984926e-46
0.01,1.00942809041582063365867792482806465385713114583584632048784,1.00942809041582063365868283459576697183587442625775907098357,4.9097677023179787432804219127504957209582055008470278752165e-24,0.990659968248023635108884900358835651467145750908905220695323,-0.925279555884843820694353873048832133640143725819882812504738,1.72842808628380613155831880124613533690420660588151855087784,0.999960002637167530584299690962553463764236186637489010006317,0.999960002637167530584299654173654159834012723054511157523537,1.00003999896268549286976386481231528960562047813174446508655,1.0,9.72782063216700156142388382060281324443997565222277720905475e-24,3.67903708217407217232012541939176938871233385916353295775449e-26
0.02,1.01885618083164126731735584965612930771426229167169264097569,1.01885618083164126731736066897817054111919420093319211073898,4.81932204123340493190926149946976328850954277682885551764653e-24,0.981492794384139760152918423092133446962764651638672076856108,-0.908234447807625552369855993836205374761938477965615681043678,1.68088816729830115251307808504186249643818979841195016303718,0.999840042185318276249997478876530986316185148306597009165128,0.999840042185318276249997408034996995698871205550130262050055,1.00015998340527761729821565631634747406189151937689346449087,1.0,9.46025971457450205154410370181550950244421094781332413066298e-24,7.08528674604602229739609106620646726710137996005732081388063e-26
0.03,1.02828427124746190097603377448419396157139343750753896146353,1.02828427124746190097603850583697465394505912123423595289752,4.7313527806923736656837266969914339854921633871342587351408e-24,0.972493723731523317678106475161441554835440671337880811411269,-0.891656034477297293426359573635546148814235964183229139119694,1.63507581471912726638645227881802654747614591228561654873726,0.999640213484229209548559613060128575598888775734925258257375,0.999640213484229209548559510764118186890663975632044831439285,1.00035991600869752986522252836432819657727383338770855394238,1.0,9.20242176796604773417104648463018598666858331384747124487778e-24,1.02332828360473009714988938062968915931000488433508752651776e-25
0.04,1.03771236166328253463471169931225861542852458334338528195138,1.03771236166328253463471634508259248628357128891813220009207,4.64577033387085504670557474691814068768276474483510324491948e-24,0.963658174406985177617898268620387552399776711385467770317403,-0.875527432639542880889999735057358508470867265359814720134271,1.59091326294431502073469791077645885934969430543919697920939,0.999360674366608830953648374958349374839749865573568239748122,0.9993606743666088309536482436753046371923402624626050411773,1.00063973463214006425946494047755416999697282101684317298952,1.0,8.95386911730423638125870263064835577934492509766892815291318e-24,1.31367031047978876067680643892012241943796904126685799041782e-25
0.05,1.04714045207910316829338962414032326928565572917923160243922,1.04714045207910316829339418662945201828918220725717460994854,4.5624891287490035264780779430075093203016096147796348415947e-24,0.954981729542101501710409209364625527740772918730580244766743,-0.859832515657560032454536306076544257798273406710274587728676,1.54832690953469131129610330230028472402383582338807880858651,0.99900164530878341447183126831882793524384121476686409116223,0.999001645308783414471831110392354571647252206442336276096025,1.00099935239937267779176661822635428479186621510012628792578,1.0,8.71418751837951840595072905798277279600479347210028291976548e-24,1.58084297563676964548172848792419879168128502063126037285502e-25
0.06,1.05656854249492380195206754896838792314278687501507792292707,1.05656854249492380195207203039578204711137829734855879631923,4.48142739412396859142233348087339216744021138450197518169622e-24,0.946460129920822831107474368231295611492469248383353059927507,-0.844555873184699970455110882823358236615405643866823383861525,1.50724705749716218058292186028356396030063937823936690025305,0.998563408943781733933080746907061837829415383695224439026719,0.998563408943781733933080564563339159819627706223598116949216,1.0014386578191742502703469729298908811965941811954290881859,1.0,8.48298470734661163097867230159510774865080100430754942032955e-24,1.82606052900417847520845067391706648003126402149975446430896e-25
0.07,1.06599663291074443561074547379645257699991802085092424341491,1.06599663291074443561074987630341138877773860329831847542636,4.40250695881177782058244739423201145234105567346192505167714e-24,0.938089267007778332236326374610805683035538585224122869916036,-0.829682773322678618059256230131517700630793600423152132109046,1.46760767564075230016608250582260817529491818356761871218818,0.998046309438923974637558115397951201689910666362022720661652,0.998046309438923974637557910751709006858952918233005509689227,1.00195751493953656325256556507661618848560547400898690890128,1.0,8.25988905197676801695081074970587537985367018474399696876299e-24,2.05046840271247357149838036445388036944155527456312784297968e-25
0.08,1.07542472332656506926942339862451723085704916668677056390276,1.07542472332656506926942772427758034822767548429755710440416,4.32565306311737062631761078654050140525408673533084190839004e-24,0.92986517634329903188976987722943790568179882370793795964622,-0.81519912709180532942865700689256545154850846938794256188024,1.42934617559200818734341051179645301249842118152168699492494,0.997450751740596273340748341128672847929796280174155630551774,0.997450751740596273340748116188769355190918404695564392618023,1.00255576353514714804157935246292244392090082878483246968888,1.0,8.04454829667113090991450035485288232246133728870311070039421e-24,2.25514796695685138503101562762794802630788728139947236619518e-25
0.09,1.0848528137423857029281013234525818847141803125226168843906,1.08485281374238570292810557424676360828964973328065296489096,4.25079418172357546942075803608050036252517507063916305422193e-24,0.921784031282850822997478730489838833832592434586688884908106,-0.80109145505319020365450177712072455818448151205921517311248,1.39240320417812979915776497869403975964456864617277784862771,0.996777200689449029709618829268560220032147604105868910368023,0.996777200689449029709618585943192414334018594777163152906506,1.00323321932757072529563191045455433949588070080583848083096,1.0,7.83662839396568911325755141330340679370946962046091975562135e-24,2.4411209208777576772324505710334693552935451155115367213869e-25
0.1,1.09428090415820633658677924828064653857131145835846320487845,1.09428090415820633658678342614250375395730294734712044908606,4.17786185721538599148898865724420761527564608233141877863383e-24,0.913842137060105714206162691109491834708518817506917380628104,-0.787346855935246765704060047194921017589318905868593383231318,1.35672244999651365213513324653689751342965411901001486984454,0.996026180009790979486085283361482131537055134732571610842411,0.996026180009790979486085023463057426132769868303122453253739,1.00398967423744821415768378520721459701909334516846247688592,1.0,7.63581241587922114904952540093652336618824190537683833667808e-24,2.60935334754804811211538996865127617017300523750122702213626e-25
0.11,1.10370899457402697024545717310871119242844260419430952536629,1.10370899457402697024546127989925470830632092753746954013007,4.10679054351587787832334316001476377675808604255529152014958e-24,0.906035925154299270800484144406631268035189841884824451959645,-0.773952977128111642578087205217146866544564481000351690946201,1.32225046308943249066994642684504609921132580207184345144686,0.995198271177458438577694884717274794067005923374450434073753,0.995198271177458438577694609966970653592089256300350733885239,1.00482489666793778301621883897256791080185395705200174136825,1.0,7.44179953901867190373707545699859430230970016312463153660221e-24,2.76075945967437186561222066201769198806510505278649273969841e-25
0.12,1.11313708498984760390413509793677584628557375003015584585413,1.11313708498984760390413913545423441132123498619958333722671,4.03751745856503566123616942749137257529712485501056241424238e-24,0.898361947943833464440704308822836813726603989287852224178779,-0.760897986919954308603899682826129116849342364814145473807984,1.28893648673337732824735405877560510219013432847264509171925,0.994294112170916817981695173789728306971565881567947295133961,0.994294112170916817981694885821764389813035143676525906024744,1.00573863181853213400937126850124939666964130578899770236779,1.0,7.25430409786744270681961971167228747249012604365028564682377e-24,2.89620506037611450145743734465343472270125008705704511926813e-25
0.13,1.12256517540566823756281302276484050014270489586600216634198,1.12256517540566823756281699274728612323517199431532780699758,3.96998244562309246709844932564065560564300323817139680984892e-24,0.890816873629296302447282378766727466414626433154189143431016,-0.748170548358635725985891933242327307245324065749539186839285,1.2567323004350708666924255268543005411658933046483817723231,0.993314396110796477664736016433671566460424399427662404457168,0.993314396110796477664735716799317023574045627252719392431495,1.00673060202830061000944674529798907693325921410674849320426,1.0,7.07305470114630208388342974336004819907705124426832284410613e-24,3.01651074137321273932262226337649904833538718307766156795146e-25
0.14,1.13199326582148887122149094759290515399983604170184848682982,1.13199326582148887122149485172074778014485076315602902829835,3.90412784262614501472145418054146852446644155831043851596756e-24,0.883397481410190899109662565606207698299967783996540822552171,-0.735759794630873742401442905922194369392821931268605255207731,1.22559207330115116923692233243716776109467304221575278724573,0.992259869793474571845498369844093194231962542466134282115887,0.992259869793474571845498060015429988855293920491275675100651,1.00780050714752419770132023508807614546247897100388209540395,1.0,6.8977934065586772815030285300575117921822859499110932742473e-24,3.12245483907218076727443003882614338751492726346578756185798e-25
0.15,1.14142135623730950488016887242096980785696718753769480731767,1.14142135623730950488017271231932887202559972511203659746052,3.83989835906416863253757434179014285642718726850325662946775e-24,0.876100656900704586856969064684423383848570353884215338522368,-0.723655305859056608203328810552431668667822016238889951013969,1.19547222701675755899493759563410741533621699292259257482484,0.991131332124686431966446255701621466495842833403691909201296,0.991131332124686431966445937075082941879305886151430775197287,1.00894802493661644300743410824585754089054233264238690246415,1.0,6.72827494961611150026885193784915545480620956052055065052805e-24,3.21477616736802585471350674052593732221090061664287636527719e-25
