reference,t,cos1,cos3,cos5,field_energy,clock_energy,work
reference_full_N128_I10,0.0,0.5,2.0748081620857408e-17,1.0340648171017297e-17,0.8221348556005856,0.05,0.0
reference_full_N128_I10,0.02,0.4997813221157912,-6.246475915244079e-06,3.902624650057365e-11,0.8217424843555523,0.05039237124503521,-0.00039237124503521627
reference_full_N128_I10,0.04,0.49912564608367826,-2.4943657011367045e-05,6.226790005846927e-10,0.8213512367922903,0.05078361880831917,-0.0007836188083191835
reference_full_N128_I10,0.06,0.4980338438641356,-5.596510726037763e-05,3.137660549582385e-09,0.8209618123135306,0.051173043287013976,-0.001173043287014072
reference_full_N128_I10,0.08,0.49650723288438414,-9.910108994196245e-05,9.852096606761004e-09,0.8205749045934752,0.051559951007227114,-0.0015599510072271622
reference_full_N128_I10,0.1,0.49454757284501827,-0.00015406002210857856,2.3851902478735292e-08,0.8201911987679348,0.051943656832894515,-0.001943656832894517
reference_full_N128_I10,0.12,0.4921570615712807,-0.00022047048035762692,4.895388503357571e-08,0.8198113686453079,0.052323486956902886,-0.002323486956902585
reference_full_N128_I10,0.14,0.48933832992946213,-0.000297883747334735,8.959688296543542e-08,0.8194360739428169,0.0526987816572133,-0.0026987816572159084
reference_full_N128_I10,0.16,0.48609443584614553,-0.00038577686394313036,1.5071499155066451e-07,0.8190659575970483,0.05306889800097478,-0.0030688980009797783
reference_full_N128_I10,0.18,0.4824288574536244,-0.00048355618320310693,2.3759346347802515e-07,0.8187016431212131,0.05343321247943582,-0.0034332124794358232
reference_full_N128_I10,0.2,0.4783454854061646,-0.0005905613884383651,3.557115357352837e-07,0.8183437320435953,0.05379112355713366,-0.003791123557133497
reference_full_N128_I10,0.22,0.47384861442108495,-0.0007060699289318845,5.105773499490169e-07,0.8179928014816757,0.05414205411964381,-0.004142054119642623
reference_full_N128_I10,0.24,0.4689429340757066,-0.0008293018676645467,7.075555812874427e-07,0.8176494017956716,0.054485453804131806,-0.004485453804132936
reference_full_N128_I10,0.26,0.46363351892829674,-0.0009594250774276336,9.516941661597542e-07,0.8173140544013253,0.05482080119885233,-0.0048208011988529
reference_full_N128_I10,0.28,0.4579258180072374,-0.0010955607645854936,1.2475527024016697e-06,0.8169872497028156,0.0551476058978083,-0.0051476058978084036
reference_full_N128_I10,0.3,0.4518256437360042,-0.0012367892634612824,1.599037212851561e-06,0.8166694452019594,0.05546541039891337,-0.00546541039891258
reference_full_N128_I10,0.32,0.4453391603490185,-0.001382156067043549,2.009244684907895e-06,0.8163610637661401,0.0557737918345304,-0.005773791834530007
reference_full_N128_I10,0.34,0.4384728718627281,-0.0015306780460235094,2.480321031627954e-06,0.8160624920748504,0.0560723635250847,-0.006072363525085135
reference_full_N128_I10,0.36,0.43123360966554847,-0.0016813498103071317,3.0133359271091563e-06,0.815774079252844,0.05636077634779448,-0.006360776347794524
reference_full_N128_I10,0.38,0.42362851978952815,-0.0018331501688653397,3.608177675963765e-06,0.8154961356867421,0.056638719913962285,-0.006638719913961975
reference_full_N128_I10,0.4,0.41566504993066,-0.00198504863782043,4.26347031253652e-06,0.8152289320506098,0.05690592355024473,-0.0069059235502437885
reference_full_N128_I10,0.42,0.4073509362785957,-0.0021360119553107348,4.976515666808567e-06,0.8149726985197894,0.05716215708027433,-0.007162157080274529
