q,n,Lambda_eV,G00,tau,zeta,h2,M_eV,min_mass_eV,max_mass_eV,condition_H,mG_eV,phase,rH,hidden_self_mass_leading_eV,clockoff_my2_leading_eV2,max_x,max_static_force_ratio,max_once_rematched_force_ratio,alpha_delta,max_abs_static_dVchi_eV4,max_abs_static_dVy_eV4,FX_over_min_mass2,MQ_over_min_mass,max_mass_over_KK,gap_conditions_pass,static_response_and_gap_conditions_pass,once_rematched_response_and_gap_conditions_pass
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-06,zero,3.1911241336605953,8435087432.860433,6.197615622946912e-42,9.484960625107849e-05,1.697555514790602e+23,8.488582521788559e+22,4.7431550354724996e-05,2432112840.551307,0.0,0.016862098041942275,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-06,quadrature,3.1911241336605953,8435087432.860433,6.197615622946912e-42,9.484960625107849e-05,5.6585183826353395e+22,2.829527507262853e+22,4.7431550354724996e-05,1.753169546653876e-21,810704280.1837691,0.016862098041942275,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-14,zero,3.1911241336605953,84.35087432860433,6.19761567957349e-58,9.48676e-21,0.16980385980244608,0.08490192990122278,4.743380000000015e-21,2.4328049610303647e-15,0.0,1.6862098041942276e-10,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-14,quadrature,3.1911241336605953,84.35087432860433,6.19761567957349e-58,9.48676e-21,0.05660128660081536,0.028300643300407595,4.743380000000015e-21,1.7536684562958413e-37,8.109349870101217e-16,1.6862098041942276e-10,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-15,zero,3.1911241336605953,8.435087432860433,6.197621285604534e-60,9.486760000000001e-23,0.0001698038598024461,8.490192990122298e-05,4.7433800000000044e-23,2.432804961030365e-18,0.0,1.6862098041942277e-11,0.19995211791936685,0.014999600834011168,False,False,False
2.0,202,1000000000000.0,0.25,2.3336307291979116e-61,1.0,0.08333333333333334,500000000000.0,500119733867.1163,1499960083401.1167,8.995212365110099,1e-15,quadrature,3.1911241336605953,8.435087432860433,6.197621285604534e-60,9.486760000000001e-23,5.660128660081538e-05,2.8300643300407667e-05,4.7433800000000044e-23,1.7536684562958415e-39,8.109349870101218e-19,1.6862098041942277e-11,0.19995211791936685,0.014999600834011168,False,False,False
3.0,128,1000000000000.0,0.1111111111111111,2.2617683795227874e-61,1.0,0.013888888888888885,333333333333.3333,666814915260.8627,1333259198733.6409,3.9977770126127363,1e-06,zero,3.0928559391769443,8435087432.860433,5.6863099746439265e-42,8.003172683279093e-05,1.4323761329527826e+23,7.162453773639633e+22,4.00206671602916e-05,2052186426.3646264,0.0,0.009485254366048902,0.14996665148211225,0.013332591987336408,False,False,False
3.0,128,1000000000000.0,0.1111111111111111,2.2617683795227874e-61,1.0,0.013888888888888885,333333333333.3333,666814915260.8627,1333259198733.6409,3.9977770126127363,1e-06,quadrature,3.0928559391769443,8435087432.860433,5.6863099746439265e-42,8.003172683279093e-05,4.774587109842608e+22,2.3874845912132108e+22,4.00206671602916e-05,1.4793025581590037e-21,684062142.1215421,0.009485254366048902,0.14996665148211225,0.013332591987336408,False,False,False
3.0,128,1000000000000.0,0.1111111111111111,2.2617683795227874e-61,1.0,0.013888888888888885,333333333333.3333,666814915260.8627,1333259198733.6409,3.9977770126127363,1e-14,zero,3.0928559391769443,84.35087432860433,5.686310031270507e-58,8.00445375e-21,0.1432720067083139,0.07163600335415689,4.002226875000004e-21,2.0526791858693703e-15,0.0,9.485254366048903e-11,0.14996665148211225,0.013332591987336408,False,False,False
3.0,128,1000000000000.0,0.1111111111111111,2.2617683795227874e-61,1.0,0.013888888888888885,333333333333.3333,666814915260.8627,1333259198733.6409,3.9977770126127363,1e-14,quadrature,3.0928559391769443,84.35087432860433,5.686310031270507e-58,8.00445375e-21,0.04775733556943797,0.023878667784718963,4.002226875000004e-21,1.479657759999616e-37,6.842263952897902e-16,9.485254366048903e-11,0.14996665148211225,0.013332591987336408,False,False,False
