k,ka,omega_lattice,omega_continuum,omega_corrected,relative_continuum_error,relative_corrected_error
1,0.09817477042468103,1.4139296543814446,1.4142135623730951,1.4139295631457995,0.00020079357609548154,-6.452629719433389e-08
2,0.19634954084936207,2.2331962422008154,2.23606797749979,2.233192547140248,0.0012859305620827044,-1.654606298084893e-06
3,0.2945243112740431,3.152004028701352,3.1622776601683795,3.151974234119215,0.0032593966801686136,-9.452583773938983e-06
4,0.39269908169872414,4.098223675236203,4.123105625617661,4.098095074744359,0.0060713988189098345,-3.137956881682502e-05
5,0.4908738521234052,5.049952537091125,5.0990195135927845,5.049555026043865,0.009716324290430567,-7.871579868135026e-05
6,0.5890486225480862,5.997585367775467,6.082762530298219,5.996587793138912,0.014201909151706715,-0.00016632937680471915
7,0.6872233929727672,6.935534864547726,7.0710678118654755,6.933364241113394,0.01954181616338646,-0.0003129713103207088
8,0.7853981633974483,7.85983695933409,8.06225774829855,7.855579664563497,0.025753815252372414,-0.0005416517915854957
9,0.8835729338221293,8.767297659009227,9.055385138137417,8.759581461272248,0.032859324541371526,-0.0008801112996374982
10,0.9817477042468103,9.655140976414014,10.04987562112089,9.641996441438756,0.04088336417574334,-0.001361402698041081
11,1.0799224746714913,10.520847618061948,11.045361017187261,10.49954705885222,0.049854671236264414,-0.002024604859133139
12,1.1780972450961724,11.362075444420304,12.041594578792296,11.328947107880843,0.05980589881628462,-0.002915694117814449
13,1.2762720155208536,12.176618353785587,13.038404810405298,12.126832942093467,0.07077387428766624,-0.004088607382249365
14,1.3744467859455345,12.96238457458062,14.035668847618199,12.889710438919817,0.0827999097590657,-0.005606540620875955
15,1.4726215563702154,13.717385339059,15.033296378372908,13.613907699284326,0.09593016502692908,-0.00754353961902865
16,1.5707963267948966,14.439729363790295,16.0312195418814,14.295527617435347,0.11021606693557517,-0.009986457690582151
17,1.6689710972195777,15.127620687298606,17.029386365926403,14.930396156696027,0.12571479136997077,-0.013037379418706085
18,1.7671458676442586,15.77935848948524,18.027756377319946,15.514002643632336,0.14248981600443078,-0.016816643466825765
19,1.8653206380689396,16.393338087932776,19.026297590440446,16.04142810846098,0.16061155381440018,-0.021466645632767012
20,1.9634954084936207,16.968052622334618,20.024984394500787,16.50725676869062,0.18015807943348827,-0.02715667283100376
21,2.061670178918302,17.502095120200202,21.02379604162864,16.905464078100383,0.20121596284571863,-0.034089121216762885
22,2.1598449493429825,17.994160745213613,22.02271554554524,17.229272040827404,0.22388122777013697,-0.04250760650727581
23,2.2580197197676637,18.44304909599676,23.021728866442675,17.470958125746975,0.24826045555773968,-0.05270771471626057
24,2.356194490192345,18.847666464889,24.020824298928627,17.621597009652312,0.2744720596407315,-0.06505152547774073
25,2.454369260617026,19.207027993462667,25.019992006393608,17.670702466315056,0.3026477607524418,-0.07998767574403065
26,2.552544031041707,19.520259679503784,26.019223662515376,17.605715983370068,0.3329342995285809,-0.09807982719328168
27,2.650718801466388,19.78660020246385,27.018512172212592,17.411250888716186,0.3654954310366174,-0.1200483806941165
28,2.748893571891069,20.005402542981958,28.0178514522438,17.067927911353976,0.40051425568902976,-0.1468340677132972
29,2.84706834231575,20.17613537826474,29.017236257093817,16.550487805923524,0.4381959534407853,-0.17969980396974528
30,2.945243112740431,20.298384239708234,30.01666203960727,15.824529235150385,0.4787710038953683,-0.2204044889349358
31,3.043417883165112,20.371852422680572,31.016124838541646,14.840375367225912,0.5224989949372743,-0.2715254823511438
32,3.141592653589793,20.396361641209825,32.01562118716424,13.52012417745148,0.5696731481009969,-0.3371305914612365
