reference,t,cos1,cos3,cos5,energy
reference_continuum_K16,0.0,0.5,0.0,0.0,0.8222137023067037
reference_continuum_K16,0.02,0.499781268722586,-6.246472144194525e-06,3.902751502990652e-11,0.8222137023067321
reference_continuum_K16,0.04,0.49912529949505735,-2.4943592934935747e-05,6.226731821706665e-10,0.8222137023068057
reference_continuum_K16,0.06,0.4980327656357358,-5.596476264522341e-05,3.1376891108357445e-09,0.8222137023081644
reference_continuum_K16,0.08,0.4965047876896821,-9.90999421584394e-05,9.851815067895671e-09,0.8222137023077949
reference_continuum_K16,0.1,0.4945429309647895,-0.00015405707877408874,2.3850375060998335e-08,0.8222137023034382
reference_continuum_K16,0.12,0.4921492021055728,-0.00022046408437422996,4.894975670430163e-08,0.8222137023066566
reference_continuum_K16,0.14,0.48932604471045055,-0.00029787137569342305,8.958653904922609e-08,0.8222137023067443
reference_continuum_K16,0.16,0.4860763340527411,-0.0003857549005403045,1.5069170904796712e-07,0.8222137023073615
reference_continuum_K16,0.18,0.48240337090301133,-0.0004835196855240135,2.3754543984547264e-07,0.8222137023069506
reference_continuum_K16,0.2,0.4783108745125183,-0.0005905038394926998,3.5562026306068515e-07,0.8222137023051693
reference_continuum_K16,0.22,0.4738029747925942,-0.0007059829948175181,5.104145856794533e-07,0.8222137023067584
reference_continuum_K16,0.24,0.4688842037333291,-0.0008291751573574954,7.072799138847429e-07,0.8222137023067921
reference_continuum_K16,0.26,0.4635594861238269,-0.0009592459087603247,9.512472954352267e-07,0.822213702307472
reference_continuum_K16,0.28,0.45783412961463876,-0.0010953139436956695,1.2468551535582427e-06,0.8222137023062126
reference_continuum_K16,0.3,0.4517138141903838,-0.0012364568821043745,1.597983543551279e-06,0.8222137023057832
reference_continuum_K16,0.32,0.4452045811043669,-0.0013817173252918626,2.00769833912867e-06,0.8222137023067576
reference_continuum_K16,0.34,0.438312821341259,-0.0015301091033934082,2.47810902954972e-06,0.8222137023069157
reference_continuum_K16,0.36,0.4310452636703371,-0.001680623668716286,3.0102435110413208e-06,0.8222137023070605
reference_continuum_K16,0.38,0.4234089623500472,-0.001832236592809515,3.6039429746548307e-06,0.8222137023058803
reference_continuum_K16,0.4,0.41541128455102877,-0.00198391411578989,4.257779208784606e-06,0.822213702306757
reference_continuum_K16,0.42,0.40705989755778293,-0.00213461970595553,4.968997481416477e-06,0.8222137023067528
reference_continuum_K16,0.44,0.3983627558157157,-0.0022833205794280946,5.7334851768128686e-06,0.8222137023070333
reference_continuum_K16,0.46,0.3893280878814278,-0.0024289941390968238,6.545768918772384e-06,0.8222137023064721
reference_continuum_K16,0.48,0.3799643833382398,-0.002570634287954488,7.399039436829192e-06,0.8222137023064818
