mG_eV,a,phase,mu_factor,scheme,eta,scalar_CW_clockoff_eV4,max_abs_delta,max_abs_delta_kinetic,min_f,min_D,max_tree_force_ratio,max_charged_force_ratio,max_modulus_force_ratio,max_selected_force_ratio,max_selected_index,max_component_sum_ratio,max_component_sum_index,max_selected_x_ratio,max_selected_y_ratio,min_modulus_mass_eV,max_H_over_modulus_mass,max_mass_over_geometric_marker,geometric_marker_eV,max_d_over_s,max_B_over_s,min_scalar_over_fermion_mass2,max_Fcomp_abs_eV,max_above_threshold_AMSB_abs_eV,selected_budget_pass,component_sum_budget_pass
1e-12,0.1,zero,1.0,tree_eta,7.078322021207937e-43,-1.0942687833372483e-49,1.1826070783295881e-42,1.433991584225474e-45,1.0,1.0,2.533902829049664e-21,3.7252734392199936e-35,1.4681593831297993e-59,2.533902829049701e-21,1024,2.533902829049701e-21,1024,2.533902829049701e-21,0.0,2.1908902300206647e-12,4.404406948410451e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415874e-54,1.6441664175862417e-57,True,True
1.7782794100389228e-12,0.1,zero,1.0,tree_eta,2.2383619599143746e-43,-1.0942687833372485e-48,3.739731944558652e-43,4.534679551665681e-46,1.0,1.0,1.4249182747913625e-21,3.7252734392199936e-35,8.256066930998568e-59,1.4249182747913997e-21,1024,1.4249182747913997e-21,1024,1.4249182747913997e-21,0.0,3.896014985701187e-12,2.4767800400467145e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060202e-55,9.245827220989158e-58,True,True
3.1622776601683794e-12,0.1,zero,1.0,tree_eta,7.078322021207937e-44,-1.0942687833372484e-47,1.182607078329588e-43,1.4339915842254744e-46,1.0,1.0,8.012904309341209e-22,3.7252734392199936e-35,4.6427276188379545e-58,8.012904309341582e-22,1024,8.012904309341582e-22,1024,8.012904309341582e-22,0.0,6.92820323027551e-12,1.3927957699248753e-21,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.4767239198287496e-55,5.199310731932047e-58,True,True
5.6234132519034904e-12,0.1,zero,1.0,tree_eta,2.238361959914375e-44,-1.094268783337248e-46,3.7397319445586527e-44,4.53467955166568e-47,1.0,1.0,4.505987227938394e-22,3.7252734392199936e-35,2.610797601675168e-57,4.505987227938766e-22,1024,4.505987227938766e-22,1024,4.505987227938766e-22,0.0,1.2320281152964092e-11,7.83226618979067e-22,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.517446861587833e-55,2.9237872870710712e-58,True,True
1e-11,0.1,zero,1.0,tree_eta,7.078322021207937e-45,-1.0942687833372481e-45,1.182607078329588e-44,1.4339915842254743e-47,1.0,1.0,2.5339028290496644e-22,3.7252734392199936e-35,1.4681593831297997e-56,2.5339028290500373e-22,1024,2.533902829050037e-22,1024,2.5339028290500373e-22,0.0,2.1908902300206645e-11,4.404406948410451e-22,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415875e-55,1.6441664175862417e-58,True,True
1.7782794100389227e-11,0.1,zero,1.0,tree_eta,2.2383619599143752e-45,-1.094268783337248e-44,3.739731944558653e-45,4.5346795516656813e-48,1.0,1.0,1.4249182747913628e-22,3.7252734392199936e-35,8.256066930998566e-56,1.4249182747917354e-22,1024,1.4249182747917354e-22,1024,1.4249182747917354e-22,0.0,3.896014985701187e-11,2.4767800400467146e-22,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060204e-56,9.245827220989162e-59,True,True
3.1622776601683794e-11,0.1,zero,1.0,tree_eta,7.078322021207937e-46,-1.0942687833372484e-43,1.182607078329588e-45,1.4339915842254743e-48,1.0,1.0,8.012904309341209e-23,3.7252734392199936e-35,4.6427276188379544e-55,8.012904309344934e-23,1024,8.012904309344934e-23,1024,8.012904309344934e-23,0.0,6.92820323027551e-11,1.3927957699248752e-22,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.47672391982875e-56,5.199310731932047e-59,True,True
5.6234132519034906e-11,0.1,zero,1.0,tree_eta,2.238361959914375e-46,-1.0942687833372483e-42,3.739731944558654e-46,4.534679551665681e-49,1.0,1.0,4.5059872279383935e-23,3.7252734392199936e-35,2.610797601675168e-54,4.5059872279421187e-23,1024,4.5059872279421187e-23,1024,4.5059872279421187e-23,0.0,1.2320281152964093e-10,7.832266189790668e-23,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.5174468615878335e-56,2.9237872870710715e-59,True,True
1e-10,0.1,zero,1.0,tree_eta,7.078322021207937e-47,-1.0942687833372484e-41,1.182607078329588e-46,1.4339915842254741e-49,1.0,1.0,2.533902829049664e-23,3.7252734392199947e-35,1.4681593831297996e-53,2.5339028290533892e-23,1024,2.5339028290533892e-23,1024,2.5339028290533892e-23,0.0,2.1908902300206648e-10,4.4044069484104505e-23,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,1.4156644042415874e-56,1.6441664175862415e-59,True,True
1.778279410038923e-10,0.1,zero,1.0,tree_eta,2.2383619599143743e-47,-1.0942687833372484e-40,3.739731944558652e-47,4.53467955166568e-50,1.0,1.0,1.4249182747913624e-23,3.7252734392199936e-35,8.256066930998571e-53,1.4249182747950875e-23,1024,1.4249182747950875e-23,1024,1.4249182747950875e-23,0.0,3.896014985701188e-10,2.476780040046714e-23,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060201e-57,9.245827220989158e-60,True,True
