mG_eV,rH,sigma,phase,start_chi,stop_chi,first_chi,cause,root_residual
1e-12,0,1,zero,139.79424666735443,219.79424666735443,157.0434121731857,conservative_feedback,-0.0997481631350877
1e-12,0,1,quadrature,139.79424666735443,219.79424666735443,157.0434121731857,conservative_feedback,-0.09974295070714076
1e-12,2,1,zero,139.79424666735443,219.79424666735443,163.12965466763157,conservative_feedback,-4.996003610813204e-16
1e-12,2,1,quadrature,139.79424666735443,219.79424666735443,163.07112862477027,conservative_feedback,-3.1780134079895106e-15
1e-12,4,1,zero,139.79424666735443,219.79424666735443,162.92838458730998,conservative_feedback,-1.1934897514720433e-15
1e-12,4,1,quadrature,139.79424666735443,219.79424666735443,162.8807746593625,conservative_feedback,6.38378239159465e-16
1e-12,100,1,zero,139.79424666735443,219.79424666735443,161.52282288943664,conservative_feedback,1.457167719820518e-15
1e-12,100,1,quadrature,139.79424666735443,219.79424666735443,161.51207405529797,conservative_feedback,1.7486012637846216e-15
1e-06,0,1,zero,139.79424666735443,219.79424666735443,143.22790161522056,conservative_feedback,-0.09974675726981061
1e-06,0,1,quadrature,139.79424666735443,219.79424666735443,143.22790161522056,conservative_feedback,-0.09974448341742932
1e-06,2,1,zero,139.79424666735443,219.79424666735443,149.51993162790126,conservative_feedback,-3.594347042223944e-15
1e-06,2,1,quadrature,139.79424666735443,219.79424666735443,149.45251992111153,conservative_feedback,-8.743006318923108e-16
1e-06,4,1,zero,139.79424666735443,219.79424666735443,149.32290781684185,conservative_feedback,1.3322676295501878e-15
1e-06,4,1,quadrature,139.79424666735443,219.79424666735443,149.26785163568854,conservative_feedback,1.2212453270876722e-15
1e-06,100,1,zero,139.79424666735443,219.79424666735443,147.9502238699271,conservative_feedback,-4.3021142204224816e-16
1e-06,100,1,quadrature,139.79424666735443,219.79424666735443,147.93730072398614,conservative_feedback,-2.0261570199409107e-15
0.001,0,1,zero,139.79424666735443,219.79424666735443,139.79424666735443,already_nonpositive_curvature,0.0
0.001,0,1,quadrature,139.79424666735443,219.79424666735443,139.79424666735443,already_nonpositive_curvature,0.0
0.001,2,1,zero,139.79424666735443,219.79424666735443,142.92650149428619,conservative_feedback,3.1363800445660672e-15
0.001,2,1,quadrature,139.79424666735443,219.79424666735443,142.8408512309812,conservative_feedback,8.830436382112339e-14
0.001,4,1,zero,139.79424666735443,219.79424666735443,142.73918408773082,conservative_feedback,-5.277722703311838e-13
0.001,4,1,quadrature,139.79424666735443,219.79424666735443,142.66869200747087,conservative_feedback,7.494005416219807e-16
0.001,100,1,zero,139.79424666735443,219.79424666735443,141.4501665411525,conservative_feedback,-1.6792123247455493e-15
0.001,100,1,quadrature,139.79424666735443,219.79424666735443,141.4322986581326,conservative_feedback,0.0
