mG_eV,rH,sigma,phase,M_vector_eV,mKK_eV,tau,A,source_c,persistent_soft_coefficient,formal_net_c,min_my2_eV2,min_transverse_schur_eV2,clockoff_my2_leading_eV2,max_radial_mass_eV,source_CW_force_ratio,persistent_CW_force_ratio,clock_contact_CW_force_ratio,contact_Btree_force_ratio,contact_B5d_force_ratio,selected_signed_axis_ratio,selected_signed_chi_ratio,selected_axis_moduli_sum,selected_feedback_sum_ratio,quadratic_valley_force_ratio,max_valley_energy_over_U,valley_boundary_fraction,FT_over_MV2,max_hierarchy_ratio,max_coupling_loop_parameter,max_soft_over_charged_mass2,finite_interval_local_pass,clockoff_local_pass,hierarchy_pass,auxiliary_pass,perturbative_pass,stated_conditions_pass,leading_cancellation_branch
1e-06,-4.0,-1.0,zero,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,1.0406330369447272e-29,-5.203165184723636e-30,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,8.446709060664087e-11,0.0002533045986560874,0.0,0.0,0.0002533045982875322,0.0002533045982875322,0.00025330459976175327,0.00025330459976175327,0.0,0.0,0.0,0.004217543716430215,0.1,0.012665147955292222,1.2323100226187652e-59,True,False,True,True,True,False,False
1e-06,-4.0,-1.0,quadrature,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,1.0406330369447272e-29,-5.203165184723636e-30,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,8.446709060664087e-11,0.00025330464315462264,6.486026284518071e-33,1.191944434348003e-08,0.0002533046431004089,0.0002533045982875322,0.0002533053163810169,0.0002533053163810169,2.1288588149767626e-36,6.79362571008022e-34,2.6105390819196682e-17,0.004217543716430215,0.1,0.012665147955292222,1.2323100226187652e-59,True,False,True,True,True,False,False
1e-06,-4.0,-1.0,pi,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,1.0406330369447272e-29,-5.203165184723636e-30,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,8.446709060664087e-11,0.0002533045986560874,0.0,0.0,0.0002533045982875322,0.0002533045982875322,0.00025330459976175327,0.00025330459976175327,0.0,0.0,0.0,0.004217543716430215,0.1,0.012665147955292222,1.2323100226187652e-59,True,False,True,True,True,False,False
1e-06,-4.0,0.0,zero,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,5.203165184723636e-30,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,0.0,0.0,0.0,0.0,4.223354530332043e-11,4.223354530332043e-11,4.223354530332043e-11,4.223354530332043e-11,0.0,0.0,0.0,0.004217543716430215,0.1,0.012665147955292222,5.283877410568905e-64,True,False,True,True,True,False,False
1e-06,-4.0,0.0,quadrature,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,5.203165184723636e-30,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,0.0,0.0,0.0,0.0,4.223354530332043e-11,4.223354530332043e-11,4.223354530332043e-11,4.223354530332043e-11,2.1288588149767626e-36,6.79362571008022e-34,2.6105390819196682e-17,0.004217543716430215,0.1,0.012665147955292222,5.283877410568905e-64,True,False,True,True,True,False,False
1e-06,-4.0,0.0,pi,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,5.203165184723636e-30,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,0.0,0.0,0.0,0.0,4.223354530332043e-11,4.223354530332043e-11,4.223354530332043e-11,4.223354530332043e-11,0.0,0.0,0.0,0.004217543716430215,0.1,0.012665147955292222,5.283877410568905e-64,True,False,True,True,True,False,False
1e-06,-4.0,1.0,zero,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,-1.0406330369447272e-29,1.560949555417091e-29,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,8.446709060664087e-11,0.0002533045986560874,0.0,0.0,0.0002533045975504216,0.0002533045975504216,0.00025330459976175327,0.00025330459976175327,0.0,0.0,0.0,0.004217543716430215,0.1,0.012665147955292222,1.2322059593150708e-59,True,False,True,True,True,False,False
1e-06,-4.0,1.0,quadrature,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,-1.0406330369447272e-29,1.560949555417091e-29,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,8.446709060664087e-11,0.00025330464315462264,6.486026284518071e-33,1.191944434348003e-08,0.00025330464234777516,0.0002533045975504216,0.0002533053163810169,0.0002533053163810169,2.1288588149767626e-36,6.79362571008022e-34,2.6105390819196682e-17,0.004217543716430215,0.1,0.012665147955292222,1.2322059593150708e-59,True,False,True,True,True,False,False
1e-06,-4.0,1.0,pi,1000000000000.0,100000000000000.0,-2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,-1.0406330369447272e-29,1.560949555417091e-29,9.962621247793354e-39,9.962621247793354e-39,-3.121899110834182e-41,6.928203230275509e-06,4.223354530332043e-11,8.446709060664087e-11,0.0002533045986560874,0.0,0.0,0.0002533045975504216,0.0002533045975504216,0.00025330459976175327,0.00025330459976175327,0.0,0.0,0.0,0.004217543716430215,0.1,0.012665147955292222,1.2322059593150708e-59,True,False,True,True,True,False,False
1e-06,0.0,-1.0,zero,1000000000000.0,100000000000000.0,0.0,4.335970987269697e-31,5.203165184723636e-30,0.0,5.203165184723636e-30,9.983433908532248e-39,9.983433908532248e-39,-1.0406330369447272e-41,6.928203230275509e-06,4.223354530332043e-11,0.0,0.0002533045986560874,0.0,0.0,0.0002533045990246427,0.0002533045990246427,0.0002533045990246427,0.0002533045990246427,0.0,0.0,0.0,0.004217543716430215,0.1,0.012665147955292222,1.2324140859224598e-59,True,False,True,True,True,False,False
1e-06,0.0,-1.0,quadrature,1000000000000.0,100000000000000.0,0.0,4.335970987269697e-31,5.203165184723636e-30,0.0,5.203165184723636e-30,9.983433908532248e-39,9.983433908532248e-39,-1.0406330369447272e-41,6.928203230275509e-06,4.223354530332043e-11,0.0,0.00025330464315462264,6.486026284518071e-33,1.191944434348003e-08,0.0002533046438586553,0.0002533045990246427,0.00025330531500817764,0.00025330531500817764,7.066639731845574e-37,6.7794629051389165e-34,2.605096839825875e-17,0.004217543716430215,0.1,0.012665147955292222,1.2324140859224598e-59,True,False,True,True,True,False,False
