phase,chi,U_eV4,tree_ratio,loop_ratio,total_ratio,scalar_log_parameter
zero,137.6422999547138,6.161810271353063e-14,1.041028881668764e-06,1.285123957485613e-06,2.326152839154377e-06,3.6340372776770016e-23
zero,137.6446975125387,6.132334405062116e-14,1.0435278030671966e-06,1.288208813067959e-06,2.331736616135156e-06,3.6340372776770016e-23
zero,137.6470949797527,6.103000646625425e-14,1.0460326281802063e-06,1.2913009566373867e-06,2.337333584817593e-06,3.6340372776770016e-23
zero,137.6494923559408,6.073808310710849e-14,1.0485433702891315e-06,1.2944004045893736e-06,2.342943774878505e-06,3.6340372776770016e-23
zero,137.65188964068614,6.044756715291477e-14,1.0510600427004747e-06,1.2975071733504632e-06,2.348567216050938e-06,3.6340372776770016e-23
zero,137.65428683356984,6.015845181631314e-14,1.0535826587457748e-06,1.3006212793781037e-06,2.3542039381238785e-06,3.6340372776770016e-23
zero,137.6566839341712,5.987073034266884e-14,1.0561112317818372e-06,1.3037427391609359e-06,2.359853970942773e-06,3.6340372776770016e-23
zero,137.6590809420675,5.958439600994089e-14,1.0586457751905134e-06,1.306871569218519e-06,2.3655173444090325e-06,3.6340372776770016e-23
zero,137.66147785683407,5.929944212850655e-14,1.0611863023788748e-06,1.3100077861015445e-06,2.3711940884804193e-06,3.6340372776770016e-23
zero,137.6638746780442,5.901586204102098e-14,1.0637328267790786e-06,1.313151406391673e-06,2.3768842331707516e-06,3.6340372776770016e-23
zero,137.66627140526938,5.873364912223672e-14,1.0662853618486025e-06,1.3163024467018216e-06,2.382587808550424e-06,3.6340372776770016e-23
zero,137.66866803807892,5.845279677888151e-14,1.0688439210699592e-06,1.3194609236758133e-06,2.3883048447457726e-06,3.6340372776770016e-23
zero,137.6710645760403,5.817329844946942e-14,1.0714085179510203e-06,1.3226268539887758e-06,2.394035371939796e-06,3.6340372776770016e-23
zero,137.67346101871888,5.78951476041765e-14,1.073979166024763e-06,1.3258002543468286e-06,2.3997794203715914e-06,3.6340372776770016e-23
zero,137.67585736567807,5.761833774467365e-14,1.076555878849409e-06,1.328981141487255e-06,2.405537020336664e-06,3.6340372776770016e-23
zero,137.67825361647925,5.734286240397369e-14,1.079138670008443e-06,1.3321695321785263e-06,2.4113082021869694e-06,3.6340372776770016e-23
zero,137.68064977068175,5.706871514628889e-14,1.0817275531105427e-06,1.3353654432202108e-06,2.4170929963307534e-06,3.6340372776770016e-23
zero,137.68304582784293,5.679588956686642e-14,1.0843225417897154e-06,1.3385688914431487e-06,2.422891433232864e-06,3.6340372776770016e-23
zero,137.685441787518,5.6524379291860255e-14,1.0869236497051042e-06,1.341779893709208e-06,2.428703543414312e-06,3.6340372776770016e-23
zero,137.6878376492602,5.62541779781552e-14,1.089530890541249e-06,1.344998466911609e-06,2.434529357452858e-06,3.6340372776770016e-23
zero,137.69023341262064,5.598527931324332e-14,1.0921442780078588e-06,1.3482246279746424e-06,2.440368905982501e-06,3.6340372776770016e-23
zero,137.69262907714844,5.571767701505923e-14,1.094763825839984e-06,1.351458393853882e-06,2.446222219693866e-06,3.6340372776770016e-23
zero,137.69502464239056,5.5451364831841746e-14,1.0973895477979382e-06,1.3546997815360891e-06,2.4520893293340274e-06,3.6340372776770016e-23
zero,137.69742010789196,5.518633654198035e-14,1.1000214576673784e-06,1.3579488080393101e-06,2.4579702657066885e-06,3.6340372776770016e-23
zero,137.69981547319537,5.492258595388442e-14,1.1026595692591652e-06,1.3612054904127052e-06,2.46386505967187e-06,3.6340372776770016e-23
zero,137.7022107378415,5.466010690582164e-14,1.105303896409534e-06,1.3644698457367586e-06,2.4697737421462926e-06,3.6340372776770016e-23
zero,137.70460590136898,5.439889326577928e-14,1.1079544529800493e-06,1.3677418911232226e-06,2.4756963441032717e-06,3.6340372776770016e-23
