mG_eV,max_selected_total_force_ratio,max_tree_force_ratio,max_selected_loop_force_ratio,selected_loop_over_new_tree,max_scalar_log_parameter,max_goldstino_log_parameter,mX_eV,selected_force_under_10percent
1e-20,2.4651029722557512e-20,8.954500419269616e-21,1.5696529303287896e-20,1.752920717889497,5.1902408103700955e-33,8.650401350616824e-34,4.217543716430216e-05,True
1.333521432163324e-20,5.818158065410661e-20,2.1234466841592233e-20,3.694711381251436e-20,1.7399595708306441,9.160514248724426e-33,1.5267523747874041e-33,5.6241849369454496e-05,True
1.7782794100389228e-20,1.3731761381906578e-19,5.0354856321896147e-20,8.696275749716964e-20,1.7269984237717906,1.6166925182222058e-32,2.694487530370343e-33,7.499971151866891e-05,True
2.3713737056616554e-20,3.2408368580247316e-19,1.1941018223411505e-19,2.046735035683581e-19,1.714037276712937,2.853053078597511e-32,4.755088464329184e-33,0.00010001372271621151,True
3.162277660168379e-20,7.648533726218969e-19,2.83166166338247e-19,4.816872062836497e-19,1.701076129654084,5.034620457100786e-32,8.391034095167977e-33,0.00013337044275250795,True
4.2169650342858224e-20,1.8050498595770488e-18,6.7149280118753345e-19,1.1335570583895156e-18,1.6881149825952304,8.883777778722628e-32,1.4806296297871046e-32,0.000177852343827581,True
5.62341325190349e-20,4.2598089574535e-18,1.5923603722772055e-18,2.667448585176295e-18,1.6751538355363775,1.5674810415611004e-31,2.6124684026018345e-32,0.00023716991225455973,True
7.498942093324558e-20,1.0052656605002335e-17,3.7760815167557716e-18,6.276575088246564e-18,1.6621926884775244,2.765541322913457e-31,4.6092355381890946e-32,0.0003162711610557504,True
1e-19,2.3722544948375785e-17,8.954500419269619e-18,1.4768044529106167e-17,1.6492315414186705,4.879000103831477e-31,8.131666839719127e-32,0.00042175437164302163,True
1.333521432163324e-19,5.597979627450484e-17,2.123446684159224e-17,3.4745329432912597e-17,1.6362703943598174,8.60704130872083e-31,1.4345068847868052e-31,0.000562418493694545,True
1.7782794100389227e-19,1.3209636023574155e-16,5.035485632189614e-17,8.174150391384541e-17,1.623309247300964,1.5182695648999957e-30,2.5304492748333263e-31,0.000749997115186689,True
2.371373705661655e-19,3.1170214234438646e-16,1.1941018223411504e-16,1.9229196011027142e-16,1.610348100242111,2.678029567229403e-30,4.463382612049005e-31,0.001000137227162115,True
3.162277660168379e-19,7.354921060298828e-16,2.83166166338247e-16,4.523259396916359e-16,1.5973869531832579,4.723379750562168e-30,7.87229958427028e-31,0.0013337044275250794,True
4.2169650342858224e-19,1.7354233240158257e-15,6.714928011875335e-16,1.0639305228282922e-15,1.5844258061244043,8.330304838719038e-30,1.3883841397865065e-30,0.0017785234382758101,True
5.623413251903491e-19,4.0946984218073e-15,1.592360372277206e-15,2.5023380495300936e-15,1.5714646590655512,1.469058088238891e-29,2.4484301470648183e-30,0.0023716991225455975,True
7.498942093324559e-19,9.661117822243224e-15,3.776081516755773e-15,5.885036305487451e-15,1.5585035120066977,2.5905178115453496e-29,4.317529685908917e-30,0.0031627116105575046,True
1e-18,2.2794060174194057e-14,8.95450041926962e-15,1.3839559754924434e-14,1.5455423649478446,4.56775939729286e-29,7.612932328821432e-30,0.004217543716430217,True
1.3335214321633241e-18,5.3778011894903094e-14,2.1234466841592248e-14,3.254354505331085e-14,1.5325812178889913,8.053568368717243e-29,1.342261394786207e-29,0.005624184936945451,True
1.778279410038923e-18,1.268751066524174e-13,5.035485632189615e-14,7.652025033052126e-14,1.5196200708301382,1.4198466115777866e-28,2.366411019296311e-29,0.007499971151866892,True
2.3713737056616553e-18,2.993205988862999e-13,1.1941018223411508e-13,1.7991041665218477e-13,1.5066589237712844,2.5030060558612965e-28,4.171676759768828e-29,0.010001372271621152,True
3.1622776601683795e-18,7.061308394378691e-13,2.8316616633824704e-13,4.2296467309962213e-13,1.4936977767124315,4.412139044023549e-28,7.353565073372581e-29,0.013337044275250795,True
4.2169650342858225e-18,1.6657967884546014e-12,6.714928011875333e-13,9.943039872670683e-13,1.4807366296535782,7.776831898715443e-28,1.2961386497859072e-28,0.017785234382758103,True
5.623413251903491e-18,3.9295878861610995e-12,1.5923603722772067e-12,2.3372275138838925e-12,1.4677754825947247,1.3706351349166814e-27,2.2843918915278025e-28,0.023716991225455977,True
7.498942093324558e-18,9.269579039484105e-12,3.7760815167557714e-12,5.493497522728334e-12,1.4548143355358716,2.415494300177242e-27,4.025823833628737e-28,0.031627116105575045,True
9.999999999999999e-18,2.1865575400012307e-11,8.954500419269616e-12,1.2911074980742692e-11,1.4418531884770183,4.2565186907542386e-27,7.0941978179237315e-28,0.04217543716430216,True
1.333521432163324e-17,5.157622751530131e-11,2.123446684159224e-11,3.0341760673709066e-11,1.4288920414181647,7.500095428713648e-27,1.2500159047856078e-27,0.0562418493694545,True
1.7782794100389228e-17,1.216538530690932e-10,5.0354856321896144e-11,7.129899674719705e-11,1.4159308943593116,1.3214236582555766e-26,2.2023727637592944e-27,0.07499971151866891,True
2.3713737056616553e-17,2.869390554282131e-10,1.1941018223411503e-10,1.675288731940981e-10,1.4029697473004585,2.327982544493188e-26,3.879970907488647e-27,0.1000137227162115,True
3.1622776601683796e-17,6.767695728458555e-10,2.831661663382471e-10,3.9360340650760836e-10,1.390008600241605,4.1008983374849306e-26,6.834830562474886e-27,0.13337044275250798,True
4.2169650342858225e-17,1.5961702528933787e-09,6.714928011875336e-10,9.246774517058451e-10,1.377047453182752,7.223358958711853e-26,1.2038931597853088e-26,0.17785234382758103,True
5.62341325190349e-17,3.764477350514896e-09,1.592360372277206e-09,2.17211697823769e-09,1.3640863061238986,1.2722121815944714e-25,2.120353635990786e-26,0.23716991225455974,True
7.498942093324558e-17,8.87804025672499e-09,3.776081516755771e-09,5.101958739969218e-09,1.3511251590650453,2.240470788809134e-25,3.7341179813485573e-26,0.3162711610557504,True
1e-16,2.0937090625830574e-08,8.954500419269617e-09,1.1982590206560959e-08,1.338164012006192,3.9452779842156202e-25,6.575463307026033e-26,0.4217543716430216,True
1.3335214321633241e-16,4.9374443135699563e-08,2.1234466841592246e-08,2.813997629410731e-08,1.3252028649473386,6.946622488710056e-25,1.1577704147850094e-25,0.5624184936945451,True
1.7782794100389228e-16,1.16432599485769e-07,5.0354856321896135e-08,6.607774316387286e-08,1.3122417178884858,1.2230007049333668e-24,2.0383345082222781e-25,0.7499971151866891,True
2.3713737056616554e-16,2.7455751197012654e-07,1.194101822341151e-07,1.5514732973601147e-07,1.2992805708296322,2.152959033125081e-24,3.5882650552084683e-25,1.0001372271621152,True
3.1622776601683793e-16,6.474083062538416e-07,2.8316616633824707e-07,3.642421399155945e-07,1.286319423770779,3.789657630946312e-24,6.316096051577186e-25,1.3337044275250796,True
4.2169650342858224e-16,1.5265437173321546e-06,6.714928011875335e-07,8.55050916144621e-07,1.2733582767119251,6.66988601870826e-24,1.1116476697847098e-24,1.7785234382758102,True
5.623413251903491e-16,3.5993668148686953e-06,1.5923603722772068e-06,2.007006442591489e-06,1.260397129653072,1.1737892282722621e-23,1.95631538045377e-24,2.3716991225455977,True
7.498942093324558e-16,8.486501473965878e-06,3.776081516755772e-06,4.710419957210106e-06,1.2474359825942192,2.0654472774410272e-23,3.442412129068379e-24,3.1627116105575044,True
1e-15,2.0008605851648844e-05,8.954500419269619e-06,1.1054105432379225e-05,1.2344748355353659,3.6340372776770016e-23,6.0567287961283365e-24,4.2175437164302165,True
1.333521432163324e-15,4.717265875609777e-05,2.1234466841592236e-05,2.5938191914505532e-05,1.2215136884765125,6.393149548706462e-23,1.0655249247844103e-23,5.62418493694545,True
1.7782794100389227e-15,0.00011121134590244477,5.035485632189612e-05,6.085648958054865e-05,1.2085525414176592,1.124577751611157e-22,1.8742962526852617e-23,7.49997115186689,True
2.3713737056616553e-15,0.0002621759685120399,0.00011941018223411511,0.0001427657862779248,1.1955913943588057,1.9779355217569733e-22,3.296559202928289e-23,10.001372271621152,True
3.1622776601683794e-15,0.0006180470396618275,0.000283166166338247,0.00033488087332358057,1.1826302472999528,3.478416924407693e-22,5.797361540679487e-23,13.337044275250795,True
4.2169650342858226e-15,0.0014569171817709315,0.0006714928011875336,0.0007854243805833979,1.1696691002410993,6.116413078704666e-22,1.0194021797841111e-22,17.7852343827581,True
5.6234132519034904e-15,0.0034342562792224916,0.0015923603722772057,0.0018418959069452859,1.156707953182246,1.0753662749500519e-21,1.7922771249167535e-22,23.716991225455974,True
7.498942093324559e-15,0.008094962691206768,0.003776081516755774,0.004318881174450993,1.1437468061233926,1.89042376607292e-21,3.1507062767882e-22,31.62711610557505,True
1e-14,0.019080121077467104,0.008954500419269616,0.010125620658197488,1.1307856590645395,3.3227965711383826e-21,5.537994285230638e-22,42.17543716430217,True
1.333521432163324e-14,0.044970874376496,0.02123446684159224,0.023736407534903768,1.117824512005686,5.83967660870287e-21,9.732794347838115e-22,56.2418493694545,True
1.7782794100389227e-14,0.10599009231912061,0.05035485632189613,0.05563523599722447,1.104863364946833,1.0261547982889474e-20,1.7102579971482453e-21,74.9997115186689,False
2.3713737056616553e-14,0.2497944250539531,0.11941018223411504,0.13038424281983804,1.0919022178879796,1.8029120103888656e-20,3.00485335064811e-21,100.01372271621152,False
3.1622776601683796e-14,0.588685773069814,0.2831661663382471,0.3055196067315668,1.0789410708291263,3.1671762178690745e-20,5.278627029781791e-21,133.37044275250798,False
4.216965034285823e-14,1.3872906462097079,0.6714928011875337,0.7157978450221743,1.065979923770273,5.562940138701073e-20,9.271566897835123e-21,177.85234382758102,False
5.6234132519034906e-14,3.2691457435762903,1.592360372277206,1.6767853712990846,1.0530187767114199,9.769433216278424e-20,1.6282388693797376e-20,237.16991225455976,False
7.498942093324558e-14,7.703423908447646,3.776081516755771,3.927342391691875,1.0400576296525663,1.7154002547048118e-19,2.8590004245080195e-20,316.27116105575044,False
1e-13,18.151636303285372,8.954500419269618,9.197135884015754,1.0270964825937132,3.011555864599764e-19,5.01925977433294e-20,421.75437164302167,False
1.333521432163324e-13,42.76908999689424,21.234466841592237,21.534623155302,1.01413533553486,5.286203668699276e-19,8.810339447832128e-20,562.4184936945451,False
1.7782794100389227e-13,100.76883873579636,50.35485632189612,50.41398241390026,1.0011741884760066,9.277318449667375e-19,1.5462197416112293e-19,749.997115186689,False
2.3713737056616554e-13,237.4128815958665,119.41018223411511,118.00269936175144,0.9882130414171534,1.6278884990207587e-18,2.713147498367931e-19,1000.1372271621152,False
3.162277660168379e-13,559.3245064777998,283.16616633824697,276.1583401395529,0.9752518943583001,2.8559355113304542e-18,4.75989251888409e-19,1333.7044275250794,False
4.2169650342858226e-13,1317.6641106484842,671.4928011875336,646.1713094609506,0.962290747299447,5.009467198697481e-18,8.349111997829135e-19,1778.5234382758103,False
5.62341325190349e-13,3104.035207930089,1592.3603722772061,1511.6748356528828,0.9493296002405935,8.785203683056328e-18,1.4642006138427213e-18,2371.6991225455977,False
7.498942093324558e-13,7311.885125688534,3776.081516755772,3535.803608932762,0.9363684531817403,1.5403767433367043e-17,2.5672945722278404e-18,3162.711610557504,False
1e-12,17223.15152910364,8954.500419269618,8268.651109834022,0.9234073061228871,2.7003151580611446e-17,4.500525263435241e-18,4217.543716430217,False
